"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009765","BP","GO:0009765","photosynthesis, light harvesting","11/421","17/5590",3.18894141486552e-09,2.25777052172479e-06,2.07449030988094e-06,"LOC18054549/LOC18052032/LOC18053261/LOC18053263/LOC18045785/LOC18048155/LOC18044863/LOC18043590/LOC18041475/LOC18038877/LOC18035158",11
"GO:0018298","BP","GO:0018298","protein-chromophore linkage","13/421","26/5590",8.80090381902982e-09,3.11551995193656e-06,2.86260976850549e-06,"LOC18054549/LOC18052032/LOC18052906/LOC18053261/LOC18053263/LOC18045785/LOC18048155/LOC18044863/LOC18043590/LOC18045171/LOC18041475/LOC18038877/LOC18035158",13
"GO:0005976","BP","GO:0005976","polysaccharide metabolic process","35/421","197/5590",1.09169837460377e-06,0.000257640816406491,0.00023672617386145,"LOC18054743/LOC18054745/LOC18055586/LOC18055908/LOC18054143/LOC18054144/LOC18054145/LOC18054151/LOC18054152/LOC18054158/LOC18053866/LOC18053419/LOC18053108/LOC18053215/LOC18046063/LOC18048635/LOC18049441/LOC18046743/LOC18046308/LOC18049131/LOC18050261/LOC18049952/LOC18046960/LOC18048822/LOC18044292/LOC18041528/LOC18041628/LOC18041588/LOC18037849/LOC18035691/LOC18033865/LOC18033703/LOC18032167/LOC18031716/LOC18039898",35
"GO:0044262","BP","GO:0044262","cellular carbohydrate metabolic process","31/421","178/5590",7.05526882395712e-06,0.00124878258184041,0.00114740950873829,"LOC18055908/LOC18054143/LOC18054144/LOC18054145/LOC18054151/LOC18054152/LOC18054158/LOC18053866/LOC18052900/LOC18053215/LOC18053090/LOC18046063/LOC18047722/LOC18049897/LOC18049441/LOC18046743/LOC18046308/LOC18049131/LOC18046960/LOC18048822/LOC18044303/LOC18044411/LOC18041528/LOC18042510/LOC18041588/LOC18036681/LOC18035691/LOC18033865/LOC18033703/LOC18032986/LOC18031716",31
"GO:0071554","BP","GO:0071554","cell wall organization or biogenesis","30/421","181/5590",2.70854160929896e-05,0.00313488013921917,0.00288039834379638,"LOC18054743/LOC18054745/LOC18055586/LOC18054143/LOC18054145/LOC18054151/LOC18054152/LOC18054158/LOC18053866/LOC18051839/LOC18053215/LOC18050337/LOC18049131/LOC18050261/LOC18049952/LOC18044285/LOC18045202/LOC18040585/LOC18040741/LOC18041628/LOC18038054/LOC18037849/LOC18035691/LOC18034655/LOC18034517/LOC18033865/LOC18033703/LOC18034411/LOC18031944/LOC18031716",30
"GO:0006073","BP","GO:0006073","cellular glucan metabolic process","21/421","106/5590",3.09945776476472e-05,0.00313488013921917,0.00288039834379638,"LOC18055908/LOC18054143/LOC18054144/LOC18054145/LOC18054151/LOC18054152/LOC18054158/LOC18053866/LOC18053215/LOC18046063/LOC18049441/LOC18046743/LOC18046308/LOC18049131/LOC18046960/LOC18048822/LOC18041528/LOC18041588/LOC18035691/LOC18033865/LOC18031716",21
"GO:0044042","BP","GO:0044042","glucan metabolic process","21/421","106/5590",3.09945776476472e-05,0.00313488013921917,0.00288039834379638,"LOC18055908/LOC18054143/LOC18054144/LOC18054145/LOC18054151/LOC18054152/LOC18054158/LOC18053866/LOC18053215/LOC18046063/LOC18049441/LOC18046743/LOC18046308/LOC18049131/LOC18046960/LOC18048822/LOC18041528/LOC18041588/LOC18035691/LOC18033865/LOC18031716",21
"GO:0071555","BP","GO:0071555","cell wall organization","25/421","141/5590",4.06133414107902e-05,0.00346567672864191,0.00318434168644172,"LOC18054743/LOC18054745/LOC18055586/LOC18054143/LOC18054145/LOC18054151/LOC18054152/LOC18054158/LOC18053866/LOC18053215/LOC18050337/LOC18049131/LOC18050261/LOC18049952/LOC18044285/LOC18045202/LOC18040585/LOC18040741/LOC18041628/LOC18037849/LOC18035691/LOC18033865/LOC18034411/LOC18031944/LOC18031716",25
"GO:0005992","BP","GO:0005992","trehalose biosynthetic process","7/421","15/5590",4.94583108239695e-05,0.00346567672864191,0.00318434168644172,"LOC18052900/LOC18053090/LOC18047722/LOC18049897/LOC18044411/LOC18042510/LOC18036681",7
"GO:0019684","BP","GO:0019684","photosynthesis, light reaction","12/421","43/5590",5.07768681716163e-05,0.00346567672864191,0.00318434168644172,"LOC18054549/LOC18052032/LOC18052694/LOC18053261/LOC18053263/LOC18045785/LOC18048155/LOC18044863/LOC18043590/LOC18041475/LOC18038877/LOC18035158",12
