"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006928","BP","GO:0006928","movement of cell or subcellular component","20/788","31/5590",1.40403180063285e-10,5.73546990558519e-08,5.3796586887406e-08,"LOC18055901/LOC18054591/LOC18055273/LOC18054646/LOC18051772/LOC18048307/LOC18048223/LOC18046861/LOC18045637/LOC18041025/LOC18039529/LOC18039021/LOC18037153/LOC18037096/LOC18037824/LOC18034863/LOC18034779/LOC18034481/LOC18032371/LOC18033169",20
"GO:0007018","BP","GO:0007018","microtubule-based movement","20/788","31/5590",1.40403180063285e-10,5.73546990558519e-08,5.3796586887406e-08,"LOC18055901/LOC18054591/LOC18055273/LOC18054646/LOC18051772/LOC18048307/LOC18048223/LOC18046861/LOC18045637/LOC18041025/LOC18039529/LOC18039021/LOC18037153/LOC18037096/LOC18037824/LOC18034863/LOC18034779/LOC18034481/LOC18032371/LOC18033169",20
"GO:0007017","BP","GO:0007017","microtubule-based process","32/788","89/5590",1.66280501068133e-07,4.52837231242215e-05,4.2474457816702e-05,"LOC18055901/LOC18054591/LOC18054356/LOC18055273/LOC18054646/LOC18052839/LOC18051772/LOC18048307/LOC18048223/LOC18046861/LOC18045637/LOC18041025/LOC18041058/LOC18039529/LOC18039021/LOC18038374/LOC18038217/LOC18039137/LOC18037885/LOC18037153/LOC18037096/LOC18036848/LOC18037824/LOC18035551/LOC18034863/LOC18034779/LOC18034481/LOC18035052/LOC18032371/LOC18033169/LOC18033085/LOC18031569",32
"GO:0009765","BP","GO:0009765","photosynthesis, light harvesting","11/788","17/5590",2.24702789193823e-06,0.000458955446928384,0.000430483238245008,"LOC18054549/LOC18055368/LOC18052032/LOC18053261/LOC18053263/LOC18045785/LOC18048155/LOC18044863/LOC18043590/LOC18041475/LOC18038877",11
"GO:0044036","BP","GO:0044036","cell wall macromolecule metabolic process","19/788","50/5590",2.23915101669945e-05,0.00257346805965143,0.00241381787982509,"LOC18054151/LOC18054152/LOC18054158/LOC18051551/LOC18053095/LOC18052866/LOC18047842/LOC18047847/LOC18049816/LOC18043997/LOC18041518/LOC18038018/LOC18037118/LOC18034655/LOC18034517/LOC18033974/LOC18033865/LOC18034971/LOC18047848",19
"GO:0007049","BP","GO:0007049","cell cycle","43/788","167/5590",3.8287033704445e-05,0.00257346805965143,0.00241381787982509,"LOC18055300/LOC18056166/LOC18056158/LOC18053699/LOC18054120/LOC18051120/LOC18051062/LOC18052839/LOC18051021/LOC18051419/LOC18049166/LOC18049220/LOC18047379/LOC18046393/LOC18049136/LOC18050333/LOC18043455/LOC18043603/LOC18044678/LOC18044765/LOC18042344/LOC18041326/LOC18041778/LOC18040694/LOC18042850/LOC18040164/LOC18038875/LOC18039537/LOC18039124/LOC18038819/LOC18035782/LOC18037735/LOC18036371/LOC18036129/LOC18035576/LOC18035128/LOC18034456/LOC18033657/LOC18034827/LOC18032585/LOC18031733/LOC18032533/LOC18031463",43
"GO:0006022","BP","GO:0006022","aminoglycan metabolic process","8/788","12/5590",4.40985958814199e-05,0.00257346805965143,0.00241381787982509,"LOC18047842/LOC18047847/LOC18049816/LOC18037118/LOC18034655/LOC18034517/LOC18033974/LOC18047848",8
"GO:0006026","BP","GO:0006026","aminoglycan catabolic process","8/788","12/5590",4.40985958814199e-05,0.00257346805965143,0.00241381787982509,"LOC18047842/LOC18047847/LOC18049816/LOC18037118/LOC18034655/LOC18034517/LOC18033974/LOC18047848",8
"GO:0006030","BP","GO:0006030","chitin metabolic process","8/788","12/5590",4.40985958814199e-05,0.00257346805965143,0.00241381787982509,"LOC18047842/LOC18047847/LOC18049816/LOC18037118/LOC18034655/LOC18034517/LOC18033974/LOC18047848",8
"GO:0006032","BP","GO:0006032","chitin catabolic process","8/788","12/5590",4.40985958814199e-05,0.00257346805965143,0.00241381787982509,"LOC18047842/LOC18047847/LOC18049816/LOC18037118/LOC18034655/LOC18034517/LOC18033974/LOC18047848",8
"GO:0016998","BP","GO:0016998","cell wall macromolecule catabolic process","8/788","12/5590",4.40985958814199e-05,0.00257346805965143,0.00241381787982509,"LOC18047842/LOC18047847/LOC18049816/LOC18037118/LOC18034655/LOC18034517/LOC18033974/LOC18047848",8
"GO:0046348","BP","GO:0046348","amino sugar catabolic process","8/788","12/5590",4.40985958814199e-05,0.00257346805965143,0.00241381787982509,"LOC18047842/LOC18047847/LOC18049816/LOC18037118/LOC18034655/LOC18034517/LOC18033974/LOC18047848",8
"GO:1901071","BP","GO:1901071","glucosamine-containing compound metabolic process","8/788","12/5590",4.40985958814199e-05,0.00257346805965143,0.00241381787982509,"LOC18047842/LOC18047847/LOC18049816/LOC18037118/LOC18034655/LOC18034517/LOC18033974/LOC18047848",8
"GO:1901072","BP","GO:1901072","glucosamine-containing compound catabolic process","8/788","12/5590",4.40985958814199e-05,0.00257346805965143,0.00241381787982509,"LOC18047842/LOC18047847/LOC18049816/LOC18037118/LOC18034655/LOC18034517/LOC18033974/LOC18047848",8
"GO:1901136","BP","GO:1901136","carbohydrate derivative catabolic process","11/788","22/5590",6.50544793125387e-05,0.00354330063988961,0.0033234849782125,"LOC18051803/LOC18047667/LOC18047842/LOC18047847/LOC18049816/LOC18037118/LOC18034655/LOC18034517/LOC18033974/LOC18031349/LOC18047848",11
"GO:0018298","BP","GO:0018298","protein-chromophore linkage","12/788","26/5590",8.16025111173623e-05,0.00416682822393031,0.00390833079562104,"LOC18054549/LOC18055368/LOC18052032/LOC18052906/LOC18053261/LOC18053263/LOC18045785/LOC18048155/LOC18044863/LOC18043590/LOC18041475/LOC18038877",12
"GO:0000280","BP","GO:0000280","nuclear division","15/788","39/5590",0.000139483492164756,0.00670341253521209,0.00628755308334008,"LOC18056166/LOC18056158/LOC18052839/LOC18051021/LOC18049166/LOC18047379/LOC18049136/LOC18044678/LOC18044765/LOC18041326/LOC18040164/LOC18039124/LOC18034827/LOC18032585/LOC18031455",15
