"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000280","BP","GO:0000280","nuclear division","14/414","39/5590",3.25500861648512e-07,0.000219713081612746,0.000204551594109644,"LOC18056158/LOC18052839/LOC18051021/LOC18048694/LOC18049166/LOC18049050/LOC18047379/LOC18049136/LOC18044678/LOC18041326/LOC18040164/LOC18039124/LOC18032585/LOC18031455",14
"GO:0048285","BP","GO:0048285","organelle fission","15/414","53/5590",3.9211391115434e-06,0.0013233844501459,0.00123206318399548,"LOC18056158/LOC18052839/LOC18051021/LOC18048694/LOC18049166/LOC18049050/LOC18047379/LOC18049136/LOC18044678/LOC18041326/LOC18040164/LOC18039124/LOC18032585/LOC18031455/LOC18032886",15
"GO:0007049","BP","GO:0007049","cell cycle","29/414","167/5590",1.07575319241214e-05,0.00242044468292731,0.00225341984515806,"LOC18055300/LOC18056158/LOC18053699/LOC18052983/LOC18052839/LOC18051021/LOC18052583/LOC18051419/LOC18048694/LOC18048255/LOC18049166/LOC18049050/LOC18049220/LOC18047379/LOC18049136/LOC18050333/LOC18043603/LOC18044678/LOC18041326/LOC18041778/LOC18040164/LOC18039124/LOC18038819/LOC18035782/LOC18036371/LOC18032585/LOC18032628/LOC18031733/LOC18031463",29
"GO:0007017","BP","GO:0007017","microtubule-based process","19/414","89/5590",1.9541422158629e-05,0.00329761498926864,0.00307006027071092,"LOC18054317/LOC18055273/LOC18052839/LOC18052583/LOC18051772/LOC18048276/LOC18048307/LOC18048223/LOC18045637/LOC18041058/LOC18039529/LOC18038374/LOC18039137/LOC18035551/LOC18034863/LOC18034779/LOC18035052/LOC18032371/LOC18033085",19
"GO:0009740","BP","GO:0009740","gibberellic acid mediated signaling pathway","8/414","20/5590",4.81660575310184e-05,0.00464458411906249,0.00432408065353654,"LOC18053149/LOC18053492/LOC18048628/LOC18044915/LOC18042554/LOC18038673/LOC18039760/LOC18033848",8
"GO:0010476","BP","GO:0010476","gibberellin mediated signaling pathway","8/414","20/5590",4.81660575310184e-05,0.00464458411906249,0.00432408065353654,"LOC18053149/LOC18053492/LOC18048628/LOC18044915/LOC18042554/LOC18038673/LOC18039760/LOC18033848",8
"GO:0071370","BP","GO:0071370","cellular response to gibberellin stimulus","8/414","20/5590",4.81660575310184e-05,0.00464458411906249,0.00432408065353654,"LOC18053149/LOC18053492/LOC18048628/LOC18044915/LOC18042554/LOC18038673/LOC18039760/LOC18033848",8
"GO:0022402","BP","GO:0022402","cell cycle process","17/414","82/5590",7.91952826485828e-05,0.00668210197347418,0.00622099786068473,"LOC18056158/LOC18053699/LOC18052983/LOC18052839/LOC18051021/LOC18052583/LOC18048694/LOC18049166/LOC18049050/LOC18047379/LOC18049136/LOC18050333/LOC18044678/LOC18041326/LOC18040164/LOC18039124/LOC18032585",17
"GO:0071554","BP","GO:0071554","cell wall organization or biogenesis","28/414","181/5590",0.000130726676907058,0.00980450076802935,0.00912793287877352,"LOC18053662/LOC18054143/LOC18054145/LOC18054151/LOC18054152/LOC18054158/LOC18053866/LOC18053215/LOC18050337/LOC18046510/LOC18049220/LOC18047842/LOC18049131/LOC18044285/LOC18044426/LOC18043997/LOC18045202/LOC18040585/LOC18040339/LOC18038054/LOC18039684/LOC18039355/LOC18035694/LOC18035691/LOC18033865/LOC18031389/LOC18031944/LOC18047845",28
"GO:0044036","BP","GO:0044036","cell wall macromolecule metabolic process","12/414","50/5590",0.000211455876522504,0.0132539729168731,0.0123393712769953,"LOC18054151/LOC18054152/LOC18054158/LOC18046510/LOC18047842/LOC18043997/LOC18040339/LOC18035694/LOC18035691/LOC18033865/LOC18031389/LOC18047845",12
"GO:0071103","BP","GO:0071103","DNA conformation change","9/414","30/5590",0.00021599066975645,0.0132539729168731,0.0123393712769953,"LOC18051021/LOC18049050/LOC18043435/LOC18044352/LOC18038910/LOC18039124/LOC18032949/LOC18031733/LOC18039116",9
