"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","BP","GO:0015979","photosynthesis","43/1099","90/5590",1.27498477437023e-09,1.15003626648194e-06,1.02132990873236e-06,"LOC18055063/LOC18053775/LOC18054210/LOC18054549/LOC18054593/LOC18055495/LOC18055316/LOC18052634/LOC18052032/LOC18052694/LOC18051897/LOC18052598/LOC18051773/LOC18053261/LOC18053263/LOC18045777/LOC18045785/LOC18046168/LOC18048155/LOC18049269/LOC18046547/LOC18045866/LOC18046879/LOC18045520/LOC18044863/LOC18044399/LOC18043836/LOC18044589/LOC18043590/LOC18044560/LOC18045619/LOC18041475/LOC18040566/LOC18041924/LOC18042622/LOC18038877/LOC18038615/LOC18036420/LOC18037749/LOC18035158/LOC18034566/LOC18035077/LOC18031746",43
"GO:0044262","BP","GO:0044262","cellular carbohydrate metabolic process","65/1099","178/5590",7.4479579656209e-08,3.35902904249503e-05,2.983103164125e-05,"LOC18056154/LOC18054179/LOC18055180/LOC18055908/LOC18054143/LOC18054144/LOC18054145/LOC18054151/LOC18054152/LOC18054158/LOC18054628/LOC18052941/LOC18053001/LOC18050938/LOC18052866/LOC18050365/LOC18053226/LOC18053090/LOC18047949/LOC18046063/LOC18048123/LOC18047722/LOC18049897/LOC18046510/LOC18049441/LOC18050333/LOC18046960/LOC18044303/LOC18044682/LOC18044491/LOC18043584/LOC18044411/LOC18041693/LOC18041528/LOC18041518/LOC18043168/LOC18042510/LOC18042773/LOC18042730/LOC18040604/LOC18041697/LOC18041588/LOC18038613/LOC18038845/LOC18037291/LOC18037502/LOC18035822/LOC18036681/LOC18035691/LOC18033865/LOC18033703/LOC18034922/LOC18035546/LOC18034971/LOC18034104/LOC18031298/LOC18031827/LOC18032986/LOC18031716/LOC18031286/LOC18033371/LOC18031363/LOC18046713/LOC18038852/LOC18033220",65
"GO:0005992","BP","GO:0005992","trehalose biosynthetic process","11/1099","15/5590",1.01322365525799e-05,0.00304642579014237,0.00270548491807486,"LOC18054628/LOC18053226/LOC18053090/LOC18047722/LOC18049897/LOC18044411/LOC18042510/LOC18036681/LOC18031286/LOC18031363/LOC18033220",11
"GO:0044036","BP","GO:0044036","cell wall macromolecule metabolic process","23/1099","50/5590",2.05662326310693e-05,0.00463768545830612,0.00411865869269572,"LOC18054151/LOC18054152/LOC18054158/LOC18053001/LOC18052866/LOC18046510/LOC18047842/LOC18047847/LOC18049816/LOC18043584/LOC18041518/LOC18040604/LOC18037118/LOC18037502/LOC18035691/LOC18033865/LOC18033703/LOC18034971/LOC18034104/LOC18031716/LOC18047845/LOC18047848/LOC18038852",23
"GO:0005991","BP","GO:0005991","trehalose metabolic process","11/1099","16/5590",2.66600916497128e-05,0.00480948053360819,0.00427122731482767,"LOC18054628/LOC18053226/LOC18053090/LOC18047722/LOC18049897/LOC18044411/LOC18042510/LOC18036681/LOC18031286/LOC18031363/LOC18033220",11
"GO:0006811","BP","GO:0006811","ion transport","60/1099","188/5590",3.44356633600928e-05,0.00517682805846728,0.00459746312579484,"LOC18054197/LOC18055229/LOC18055230/LOC18055318/LOC18056041/LOC18054614/LOC18051816/LOC18051582/LOC18053579/LOC18052033/LOC18053567/LOC18053576/LOC18052351/LOC18050870/LOC18053225/LOC18051154/LOC18047346/LOC18047579/LOC18049138/LOC18049353/LOC18046741/LOC18046233/LOC18046780/LOC18048993/LOC18049307/LOC18045480/LOC18044751/LOC18044951/LOC18043527/LOC18044564/LOC18043241/LOC18043244/LOC18044036/LOC18040295/LOC18042328/LOC18041653/LOC18041920/LOC18040207/LOC18040867/LOC18042610/LOC18039573/LOC18038907/LOC18038157/LOC18038934/LOC18038108/LOC18039280/LOC18038820/LOC18039010/LOC18036783/LOC18037271/LOC18034196/LOC18033648/LOC18035651/LOC18034262/LOC18035186/LOC18033254/LOC18032157/LOC18032760/LOC18032121/LOC18035533",60
"GO:0009765","BP","GO:0009765","photosynthesis, light harvesting","11/1099","17/5590",6.21314266410954e-05,0.00800607811860972,0.00711007754494339,"LOC18054549/LOC18052032/LOC18053261/LOC18053263/LOC18045785/LOC18048155/LOC18044863/LOC18043590/LOC18041475/LOC18038877/LOC18035158",11
"GO:0042221","BP","GO:0042221","response to chemical","105/1099","382/5590",7.82223230150767e-05,0.00820938093318339,0.00729062771636429,"LOC18053963/LOC18053755/LOC18055059/LOC18055572/LOC18055899/LOC18055428/LOC18056065/LOC18054917/LOC18054641/LOC18055453/LOC18055320/LOC18054258/LOC18052059/LOC18053149/LOC18053492/LOC18052602/LOC18051867/LOC18052168/LOC18053388/LOC18046431/LOC18047042/LOC18048665/LOC18048745/LOC18049444/LOC18046011/LOC18049277/LOC18046345/LOC18049839/LOC18047913/LOC18050333/LOC18049953/LOC18049958/LOC18047540/LOC18047321/LOC18048045/LOC18044230/LOC18045467/LOC18044461/LOC18045713/LOC18044653/LOC18044946/LOC18044680/LOC18044681/LOC18043209/LOC18043537/LOC18045294/LOC18044687/LOC18045496/LOC18045268/LOC18042675/LOC18043186/LOC18041892/LOC18042003/LOC18042934/LOC18042318/LOC18042192/LOC18041942/LOC18040175/LOC18038076/LOC18038027/LOC18038768/LOC18039306/LOC18038853/LOC18038673/LOC18038199/LOC18035778/LOC18036626/LOC18037502/LOC18036503/LOC18036454/LOC18037266/LOC18037435/LOC18034309/LOC18033791/LOC18034126/LOC18035238/LOC18035015/LOC18033848/LOC18033753/LOC18035131/LOC18034781/LOC18034212/LOC18034313/LOC18034800/LOC18034820/LOC18034434/LOC18035603/LOC18035349/LOC18034415/LOC18035186/LOC18033438/LOC18033287/LOC18033276/LOC18032473/LOC18032320/LOC18032443/LOC18032009/LOC18033124/LOC18031642/LOC18032769/LOC18031489/LOC18032558/LOC18031475/LOC18031357/LOC18040169",105
"GO:0071554","BP","GO:0071554","cell wall organization or biogenesis","57/1099","181/5590",8.19117831470627e-05,0.00820938093318339,0.00729062771636429,"LOC18054743/LOC18054745/LOC18055586/LOC18055588/LOC18054143/LOC18054145/LOC18054151/LOC18054152/LOC18054158/LOC18051839/LOC18053001/LOC18052866/LOC18052688/LOC18052472/LOC18050634/LOC18050339/LOC18047568/LOC18046510/LOC18047842/LOC18047847/LOC18046237/LOC18050261/LOC18049952/LOC18049816/LOC18044285/LOC18044426/LOC18045452/LOC18043584/LOC18045202/LOC18040603/LOC18040585/LOC18041518/LOC18040742/LOC18041628/LOC18042773/LOC18040604/LOC18040195/LOC18038054/LOC18038946/LOC18037938/LOC18038017/LOC18037118/LOC18037502/LOC18037849/LOC18035691/LOC18033865/LOC18033703/LOC18034971/LOC18033611/LOC18034104/LOC18034411/LOC18031716/LOC18054640/LOC18047845/LOC18047848/LOC18048043/LOC18038852",57
"GO:0072330","BP","GO:0072330","monocarboxylic acid biosynthetic process","34/1099","93/5590",9.66964015095282e-05,0.00849299787974225,0.00754250366026823,"LOC18054947/LOC18054839/LOC18053046/LOC18053048/LOC18053050/LOC18052054/LOC18051086/LOC18051159/LOC18046066/LOC18049893/LOC18049958/LOC18048831/LOC18045747/LOC18043489/LOC18043571/LOC18044694/LOC18043209/LOC18043707/LOC18044018/LOC18045670/LOC18043894/LOC18042675/LOC18040235/LOC18042511/LOC18042665/LOC18038227/LOC18038849/LOC18038394/LOC18037073/LOC18034906/LOC18034921/LOC18034211/LOC18034523/LOC18031493",34
"GO:0009739","BP","GO:0009739","response to gibberellin","15/1099","29/5590",0.000110495768867899,0.00849299787974225,0.00754250366026823,"LOC18055572/LOC18053149/LOC18053492/LOC18047042/LOC18048665/LOC18049839/LOC18043209/LOC18045496/LOC18038673/LOC18038199/LOC18033848/LOC18032443/LOC18031642/LOC18031489/LOC18040169",15
"GO:0042546","BP","GO:0042546","cell wall biogenesis","24/1099","58/5590",0.000112988885318079,0.00849299787974225,0.00754250366026823,"LOC18054151/LOC18054152/LOC18054158/LOC18051839/LOC18053001/LOC18052866/LOC18052472/LOC18050634/LOC18046510/LOC18043584/LOC18040603/LOC18040585/LOC18041518/LOC18040604/LOC18038054/LOC18037938/LOC18037502/LOC18035691/LOC18033865/LOC18033703/LOC18034971/LOC18034104/LOC18031716/LOC18038852",24
"GO:0006865","BP","GO:0006865","amino acid transport","20/1099","45/5590",0.000128969166851182,0.00866530945274831,0.00769553097624164,"LOC18055229/LOC18055230/LOC18054614/LOC18053579/LOC18052351/LOC18047579/LOC18046233/LOC18045480/LOC18044951/LOC18044564/LOC18044036/LOC18040207/LOC18042610/LOC18038157/LOC18038108/LOC18039280/LOC18038820/LOC18034196/LOC18035651/LOC18035533",20
