"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"cic00195","cic00195","Photosynthesis","25/787","45/4414",1.14078467780542e-08,1.27767883914207e-06,1.02070208014169e-06,"18054197/18054593/18055495/18051312/18050406/18052634/18051897/18051680/18052598/18051773/18046168/18049269/18046547/18045866/18046879/18044399/18044560/18043060/18037401/18036420/18037749/18034566/18035077/18034913/18033147",25
"cic00500","cic00500","Starch and sucrose metabolism","47/787","145/4414",1.13684886134761e-05,0.000468816676309139,0.000374524600434933,"18055984/18054218/18055908/18054628/18051192/18050513/18053108/18051626/18052672/18050365/18052395/18052397/18053226/18053090/18047949/18048123/18047722/18048130/18049897/18047684/18049441/18048777/18047440/18048820/18046960/18044411/18045113/18042510/18043125/18042626/18041588/18038613/18039401/18037291/18037744/18037745/18036645/18035909/18036681/18034209/18032167/18031286/18032035/18033371/18031363/18049738/18033220",47
"cic00520","cic00520","Amino sugar and nucleotide sugar metabolism","40/787","117/4414",1.25575895439948e-05,0.000468816676309139,0.000374524600434933,"18053967/18053788/18054856/18055984/18054071/18051810/18050513/18051200/18051626/18048583/18046474/18049562/18050339/18048777/18046134/18046136/18048720/18047842/18047843/18047847/18050333/18046960/18049341/18044485/18045274/18042394/18040776/18039401/18038372/18038017/18037118/18037784/18035909/18035312/18032114/18031437/18033371/18032558/18047845/18047848",40
"cic00196","cic00196","Photosynthesis - antenna proteins","11/787","17/4414",2.35727339160456e-05,0.000660036549649276,0.000527284837595756,"18054549/18052032/18053261/18053263/18045785/18048155/18044863/18043590/18041475/18038877/18035158",11
"cic04075","cic04075","Plant hormone signal transduction","64/787","237/4414",0.000204422872831511,0.00393857983124086,0.00314642185766422,"18053755/18054200/18055059/18054509/18055572/18055646/18054149/18054143/18054145/18054146/18054150/18054151/18054152/18054158/18052059/18052627/18053492/18053390/18048122/18046345/18049839/18047706/18047540/18048045/18044230/18045480/18043925/18044653/18045545/18045294/18043042/18040632/18041991/18043186/18041892/18042318/18038157/18039306/18038788/18035901/18037095/18036545/18036546/18036454/18037715/18035690/18035691/18033740/18033982/18035582/18033692/18034456/18033753/18035131/18034212/18034313/18034820/18032320/18032009/18031847/18032958/18033124/18047895/18034544",64
"cic04016","cic04016","MAPK signaling pathway - plant","37/787","118/4414",0.000210995348102189,0.00393857983124086,0.00314642185766422,"18055475/18054509/18055204/18055914/18052059/18051582/18050870/18049588/18048122/18046431/18046436/18046037/18046039/18048003/18047706/18048239/18048242/18045127/18044970/18040837/18041991/18043186/18041919/18042242/18038027/18038290/18037118/18037095/18035802/18033740/18033982/18034434/18034415/18031882/18031847/18032958/18047895",37
"cic00591","cic00591","Linoleic acid metabolism","9/787","15/4414",0.000312174106789772,0.00484135044187358,0.00386762018382758,"18053046/18053048/18053050/18052054/18051664/18046741/18040235/18031493/18031375",9
"cic04626","cic04626","Plant-pathogen interaction","57/787","209/4414",0.000345810745848113,0.00484135044187358,0.00386762018382758,"18053947/18054947/18054839/18056093/18054460/18055092/18055093/18054709/18052944/18053406/18046431/18049924/18048022/18046037/18046039/18046394/18048003/18048415/18048831/18048567/18048239/18043489/18045127/18044777/18044817/18043707/18044668/18040598/18040837/18040589/18041991/18040312/18041919/18042242/18041223/18041224/18040301/18038027/18038286/18039805/18038290/18039642/18033709/18033740/18033982/18034341/18034434/18035150/18034415/18034921/18031882/18032103/18031494/18032094/18033105/18052971/18032711",57
"cic02010","cic02010","ABC transporters","14/787","32/4414",0.000572852002534201,0.00712882492042561,0.00569501990823475,"18055440/18054567/18054882/18053179/18049805/18043506/18042477/18041642/18038685/18039076/18039138/18037160/18033021/18033331",14
"cic00940","cic00940","Phenylpropanoid biosynthesis","49/787","188/4414",0.00256099433830491,0.0272878250784216,0.0217994843201676,"18054232/18055849/18054218/18054131/18051456/18051192/18052500/18052501/18052503/18050450/18050365/18052395/18052397/18050743/18046716/18046501/18048366/18048368/18050152/18050156/18046298/18047440/18045884/18043961/18043571/18043565/18044719/18042352/18042520/18041836/18038827/18038426/18039411/18037076/18037541/18036870/18036699/18036045/18035701/18037750/18035687/18035333/18035677/18034906/18033532/18031740/18052457/18052462/18052997",49
"cic00460","cic00460","Cyanoamino acid metabolism","18/787","52/4414",0.00268005424877355,0.0272878250784216,0.0217994843201676,"18056151/18054218/18051192/18050365/18052395/18052397/18049291/18047440/18045998/18044430/18044431/18044432/18040693/18036914/18037363/18037324/18043917/18033040",18
"cic00052","cic00052","Galactose metabolism","17/787","50/4414",0.0043111366460612,0.0402372753632379,0.0321444399048423,"18055984/18055225/18055822/18050513/18050892/18047684/18046474/18044188/18042394/18037744/18037745/18036645/18035854/18035909/18031271/18031328/18032035",17
"cic00592","cic00592","alpha-Linolenic acid metabolism","15/787","43/4414",0.00546284517933433,0.047064512314265,0.0375985295743658,"18053046/18053048/18053050/18052054/18051020/18051664/18046741/18046424/18044018/18043081/18038849/18036670/18032615/18031375/18034674",15
"cic00905","cic00905","Brassinosteroid biosynthesis","7/787","14/4414",0.00598763906190575,0.047901112495246,0.038266866185112,"18054829/18051625/18045736/18037059/18036987/18036416/18036422",7
