"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","BP","GO:0015979","photosynthesis","54/1181","90/5590",7.3184149691621e-16,6.54998139740008e-13,6.13976497939179e-13,"LOC18053775/LOC18054210/LOC18054549/LOC18055495/LOC18055368/LOC18055316/LOC18055991/LOC18053144/LOC18052634/LOC18052032/LOC18052292/LOC18052694/LOC18051897/LOC18052598/LOC18051870/LOC18053261/LOC18053263/LOC18049589/LOC18046386/LOC18045777/LOC18045785/LOC18046168/LOC18048155/LOC18049269/LOC18046547/LOC18045866/LOC18046879/LOC18044075/LOC18045518/LOC18045520/LOC18044863/LOC18044399/LOC18044589/LOC18043590/LOC18044560/LOC18045619/LOC18041475/LOC18041631/LOC18040566/LOC18040285/LOC18041099/LOC18042569/LOC18041202/LOC18042622/LOC18038877/LOC18039962/LOC18038615/LOC18037749/LOC18034139/LOC18035158/LOC18035077/LOC18031419/LOC18032961/LOC18031746",54
"GO:0009765","BP","GO:0009765","photosynthesis, light harvesting","15/1181","17/5590",6.10966259153536e-09,2.73407400971208e-06,2.56284267655457e-06,"LOC18054549/LOC18055368/LOC18052032/LOC18051870/LOC18053261/LOC18053263/LOC18045785/LOC18048155/LOC18044075/LOC18044863/LOC18043590/LOC18041475/LOC18041202/LOC18038877/LOC18035158",15
"GO:0019684","BP","GO:0019684","photosynthesis, light reaction","24/1181","43/5590",6.12564163117998e-07,0.000182748308663536,0.000171303030878963,"LOC18054549/LOC18055368/LOC18055991/LOC18052634/LOC18052032/LOC18052694/LOC18051870/LOC18053261/LOC18053263/LOC18049589/LOC18046386/LOC18045785/LOC18046168/LOC18048155/LOC18044075/LOC18044863/LOC18043590/LOC18041475/LOC18040566/LOC18041202/LOC18038877/LOC18035158/LOC18035077/LOC18032961",24
"GO:0006091","BP","GO:0006091","generation of precursor metabolites and energy","51/1181","130/5590",1.51959144323867e-06,0.000340008585424653,0.000318714310595059,"LOC18054549/LOC18054604/LOC18055368/LOC18055991/LOC18053611/LOC18052634/LOC18050389/LOC18052032/LOC18052694/LOC18051870/LOC18053261/LOC18053263/LOC18049589/LOC18046386/LOC18045785/LOC18047829/LOC18046168/LOC18047619/LOC18048155/LOC18048029/LOC18046858/LOC18046960/LOC18046576/LOC18044075/LOC18044863/LOC18045656/LOC18043590/LOC18045098/LOC18041475/LOC18040566/LOC18042236/LOC18042243/LOC18041202/LOC18041337/LOC18042441/LOC18041588/LOC18038877/LOC18038086/LOC18038088/LOC18038981/LOC18038845/LOC18038401/LOC18037111/LOC18037599/LOC18034756/LOC18035158/LOC18035077/LOC18031960/LOC18032961/LOC18032972/LOC18031724",51
"GO:0018298","BP","GO:0018298","protein-chromophore linkage","16/1181","26/5590",8.70808698204438e-06,0.00155874756978594,0.00146112533151355,"LOC18054549/LOC18055368/LOC18052032/LOC18052906/LOC18053261/LOC18053263/LOC18045785/LOC18048155/LOC18044075/LOC18044863/LOC18043590/LOC18041475/LOC18041202/LOC18038877/LOC18033732/LOC18035158",16
"GO:0007017","BP","GO:0007017","microtubule-based process","36/1181","89/5590",2.40875107645506e-05,0.00359305368904547,0.00336802562795559,"LOC18055733/LOC18053658/LOC18054591/LOC18055414/LOC18054356/LOC18055273/LOC18054646/LOC18052839/LOC18051759/LOC18051772/LOC18048145/LOC18048307/LOC18048223/LOC18046861/LOC18047083/LOC18041025/LOC18041058/LOC18039529/LOC18039021/LOC18038374/LOC18038217/LOC18038180/LOC18039137/LOC18037885/LOC18037153/LOC18037096/LOC18036848/LOC18035551/LOC18034863/LOC18034779/LOC18034481/LOC18035052/LOC18032371/LOC18033169/LOC18033085/LOC18031569",36
"GO:0006928","BP","GO:0006928","movement of cell or subcellular component","17/1181","31/5590",3.77301646398528e-05,0.00422106216908353,0.00395670279183719,"LOC18054591/LOC18055273/LOC18054646/LOC18051772/LOC18048307/LOC18048223/LOC18046861/LOC18041025/LOC18039529/LOC18039021/LOC18037153/LOC18037096/LOC18034863/LOC18034779/LOC18034481/LOC18032371/LOC18033169",17
"GO:0007018","BP","GO:0007018","microtubule-based movement","17/1181","31/5590",3.77301646398528e-05,0.00422106216908353,0.00395670279183719,"LOC18054591/LOC18055273/LOC18054646/LOC18051772/LOC18048307/LOC18048223/LOC18046861/LOC18041025/LOC18039529/LOC18039021/LOC18037153/LOC18037096/LOC18034863/LOC18034779/LOC18034481/LOC18032371/LOC18033169",17
"GO:1901136","BP","GO:1901136","carbohydrate derivative catabolic process","12/1181","22/5590",0.000578481485260878,0.0408420888938681,0.0382842044674071,"LOC18051803/LOC18047667/LOC18047842/LOC18049816/LOC18043881/LOC18037118/LOC18034655/LOC18034517/LOC18033974/LOC18031389/LOC18031349/LOC18047848",12
"GO:0006022","BP","GO:0006022","aminoglycan metabolic process","8/1181","12/5590",0.0008465295765749,0.0408420888938681,0.0382842044674071,"LOC18047842/LOC18049816/LOC18037118/LOC18034655/LOC18034517/LOC18033974/LOC18031389/LOC18047848",8
