"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"cic00196","cic00196","Photosynthesis - antenna proteins","14/887","17/4414",5.93457049241212e-08,6.88410177119805e-06,6.05950881856816e-06,"18054549/18055368/18052032/18053261/18053263/18045785/18048155/18044075/18044863/18043590/18041475/18041202/18038877/18035158",14
"cic00195","cic00195","Photosynthesis","23/887","45/4414",3.12506921770169e-06,0.000181254014626698,0.000159543007430034,"18055418/18055495/18052634/18052292/18051897/18052598/18046168/18049269/18046547/18045866/18046879/18045518/18044399/18044560/18043967/18041631/18042569/18043060/18037749/18035077/18034913/18031419/18033147",23
"cic00260","cic00260","Glycine, serine and threonine metabolism","25/887","58/4414",5.14669066581953e-05,0.00199005372411689,0.00175168068275261,"18055481/18054542/18050546/18051971/18052469/18050464/18048424/18044642/18045691/18045583/18042075/18042236/18040692/18038086/18038643/18036914/18037066/18036951/18037599/18034004/18035289/18031585/18032887/18031198/18033237",25
"cic03010","cic03010","Ribosome","80/887","277/4414",0.00019179724723707,0.00556212016987502,0.0048958771005252,"18053802/18054533/18055660/18055665/18053894/18054026/18054582/18051074/18051352/18050922/18053436/18053183/18047800/18045932/18048135/18047526/18046028/18050226/18049070/18047401/18048781/18046336/18046873/18045886/18049110/18049244/18043554/18044471/18045517/18044841/18044969/18043343/18043358/18043271/18042898/18042373/18041125/18040468/18040917/18041187/18042031/18040159/18040450/18043010/18042502/18039869/18037901/18038283/18038562/18039569/18039172/18039036/18038982/18038651/18038486/18039792/18038243/18039180/18039871/18036445/18037549/18037551/18037391/18036575/18036576/18035602/18035490/18034960/18033656/18033728/18033801/18033832/18031846/18033355/18031743/18033570/18032337/18033557/18031833/18032530",80
"cic04016","cic04016","MAPK signaling pathway - plant","39/887","118/4414",0.000555050935394905,0.0128771817011618,0.0113347243649065,"18054509/18055439/18055914/18052640/18051009/18046431/18049391/18049451/18046037/18048003/18047706/18048239/18043434/18043519/18044970/18040837/18041919/18039469/18039631/18038027/18038290/18037118/18037095/18037418/18034655/18034517/18033974/18033740/18034434/18034415/18031882/18031847/18032958/18033079/18033189/18031668/18047895/18035981/18031940",39
"cic04075","cic04075","Plant hormone signal transduction","67/887","237/4414",0.00120194357314245,0.0208105035924724,0.018317775394463,"18054200/18054509/18055572/18055782/18055439/18054772/18055370/18054150/18054152/18052741/18052627/18052162/18052163/18046065/18049926/18049391/18048976/18046752/18046344/18046345/18049839/18047706/18047007/18047540/18049830/18043434/18045480/18043519/18044653/18043439/18045294/18040324/18040694/18042398/18042156/18039469/18039631/18039156/18039015/18037095/18037418/18036545/18036546/18037715/18035690/18035691/18034947/18033740/18033692/18034456/18033660/18033753/18033610/18034212/18034313/18035062/18034114/18033888/18031625/18031847/18032958/18033124/18033189/18031668/18047895/18035981/18034544",67
"cic01230","cic01230","Biosynthesis of amino acids","57/887","197/4414",0.0015316634844478,0.0208105035924724,0.018317775394463,"18053736/18055958/18055121/18055805/18050485/18050880/18051556/18051971/18052864/18051277/18052469/18047829/18048424/18047932/18045998/18044953/18043596/18045691/18045098/18042075/18041861/18040648/18041601/18042236/18041352/18041161/18040692/18039362/18038086/18038981/18039816/18038643/18038986/18039460/18037111/18036914/18037066/18035854/18036828/18037030/18037599/18036387/18034587/18033815/18035289/18034756/18035353/18034523/18031249/18032221/18031732/18032436/18032792/18031386/18031852/18031724/18033481",57
"cic00966","cic00966","Glucosinolate biosynthesis","10/887","19/4414",0.00160079611713862,0.0208105035924724,0.018317775394463,"18044430/18044431/18044432/18044914/18040648/18041601/18034587/18032792/18043917/18033040",10
"cic01200","cic01200","Carbon metabolism","65/887","231/4414",0.001614608037347,0.0208105035924724,0.018317775394463,"18055054/18055481/18055658/18055958/18053903/18054604/18055121/18054254/18050485/18050546/18050981/18050880/18051556/18053611/18050389/18051640/18051277/18050645/18050464/18047829/18047619/18048029/18046858/18045998/18046576/18045352/18044642/18043596/18044491/18045656/18045691/18045098/18041861/18042236/18042243/18040692/18041337/18040275/18038922/18037981/18038086/18038981/18039816/18038643/18038615/18038845/18037111/18037191/18036914/18037469/18035854/18036951/18037599/18034004/18033815/18035289/18034756/18031585/18031272/18031784/18032294/18031732/18031386/18031724/18033481",65
"cic00270","cic00270","Cysteine and methionine metabolism","32/887","102/4414",0.00429504050681555,0.0498224698790603,0.0438546241222219,"18055958/18053903/18055121/18052152/18051556/18051971/18050524/18048275/18047932/18049808/18045998/18046576/18043706/18044000/18040192/18041439/18041861/18040648/18041601/18042810/18040692/18039362/18039428/18039429/18038986/18035943/18036507/18034587/18035289/18035353/18031249/18031732",32
