"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006952","BP","GO:0006952","defense response","58/752","202/5590",5.00503197158387e-09,4.01904067318185e-06,3.66157602131662e-06,"LOC18055021/LOC18056166/LOC18055146/LOC18054372/LOC18053060/LOC18050678/LOC18053579/LOC18053500/LOC18053499/LOC18053389/LOC18048745/LOC18047119/LOC18048466/LOC18048543/LOC18047765/LOC18048772/LOC18046675/LOC18047288/LOC18046142/LOC18047673/LOC18048108/LOC18047675/LOC18047125/LOC18049690/LOC18048213/LOC18046495/LOC18048868/LOC18045756/LOC18045476/LOC18043712/LOC18044403/LOC18045399/LOC18042952/LOC18039099/LOC18038248/LOC18038249/LOC18038027/LOC18038768/LOC18036667/LOC18037266/LOC18033982/LOC18034434/LOC18034308/LOC18034558/LOC18034249/LOC18034444/LOC18035246/LOC18034811/LOC18033387/LOC18033438/LOC18033276/LOC18031766/LOC18031765/LOC18031285/LOC18031489/LOC18033452/LOC18049033/LOC18049078",58
"GO:0009627","BP","GO:0009627","systemic acquired resistance","9/752","17/5590",0.000121802911398019,0.0205183890456786,0.018693426475384,"LOC18048745/LOC18043712/LOC18044403/LOC18039099/LOC18038248/LOC18038249/LOC18038027/LOC18031285/LOC18049078",9
"GO:0044262","BP","GO:0044262","cellular carbohydrate metabolic process","42/752","178/5590",0.000135102221094631,0.0205183890456786,0.018693426475384,"LOC18056154/LOC18054179/LOC18055189/LOC18055908/LOC18054143/LOC18054144/LOC18054145/LOC18054151/LOC18054152/LOC18054158/LOC18053866/LOC18052941/LOC18052900/LOC18053215/LOC18053090/LOC18048123/LOC18047722/LOC18049897/LOC18046510/LOC18046805/LOC18049131/LOC18050333/LOC18044303/LOC18044384/LOC18043997/LOC18044411/LOC18041518/LOC18042510/LOC18042730/LOC18038613/LOC18038845/LOC18035694/LOC18037502/LOC18035822/LOC18036681/LOC18035691/LOC18034922/LOC18035546/LOC18031298/LOC18032223/LOC18032986/LOC18031286",42
"GO:0044036","BP","GO:0044036","cell wall macromolecule metabolic process","17/752","50/5590",0.000165677336055008,0.0205183890456786,0.018693426475384,"LOC18054151/LOC18054152/LOC18054158/LOC18046510/LOC18047842/LOC18049816/LOC18044384/LOC18043997/LOC18041518/LOC18037118/LOC18035694/LOC18037502/LOC18035691/LOC18034517/LOC18031389/LOC18047845/LOC18047848",17
"GO:0005992","BP","GO:0005992","trehalose biosynthetic process","8/752","15/5590",0.000277669451544342,0.0205183890456786,0.018693426475384,"LOC18052900/LOC18053090/LOC18047722/LOC18049897/LOC18044411/LOC18042510/LOC18036681/LOC18031286",8
"GO:0006022","BP","GO:0006022","aminoglycan metabolic process","7/752","12/5590",0.000332178153915096,0.0205183890456786,0.018693426475384,"LOC18047842/LOC18049816/LOC18037118/LOC18034517/LOC18031389/LOC18047845/LOC18047848",7
"GO:0006026","BP","GO:0006026","aminoglycan catabolic process","7/752","12/5590",0.000332178153915096,0.0205183890456786,0.018693426475384,"LOC18047842/LOC18049816/LOC18037118/LOC18034517/LOC18031389/LOC18047845/LOC18047848",7
"GO:0006030","BP","GO:0006030","chitin metabolic process","7/752","12/5590",0.000332178153915096,0.0205183890456786,0.018693426475384,"LOC18047842/LOC18049816/LOC18037118/LOC18034517/LOC18031389/LOC18047845/LOC18047848",7
"GO:0006032","BP","GO:0006032","chitin catabolic process","7/752","12/5590",0.000332178153915096,0.0205183890456786,0.018693426475384,"LOC18047842/LOC18049816/LOC18037118/LOC18034517/LOC18031389/LOC18047845/LOC18047848",7
"GO:0016998","BP","GO:0016998","cell wall macromolecule catabolic process","7/752","12/5590",0.000332178153915096,0.0205183890456786,0.018693426475384,"LOC18047842/LOC18049816/LOC18037118/LOC18034517/LOC18031389/LOC18047845/LOC18047848",7
"GO:0046348","BP","GO:0046348","amino sugar catabolic process","7/752","12/5590",0.000332178153915096,0.0205183890456786,0.018693426475384,"LOC18047842/LOC18049816/LOC18037118/LOC18034517/LOC18031389/LOC18047845/LOC18047848",7
"GO:1901071","BP","GO:1901071","glucosamine-containing compound metabolic process","7/752","12/5590",0.000332178153915096,0.0205183890456786,0.018693426475384,"LOC18047842/LOC18049816/LOC18037118/LOC18034517/LOC18031389/LOC18047845/LOC18047848",7
"GO:1901072","BP","GO:1901072","glucosamine-containing compound catabolic process","7/752","12/5590",0.000332178153915096,0.0205183890456786,0.018693426475384,"LOC18047842/LOC18049816/LOC18037118/LOC18034517/LOC18031389/LOC18047845/LOC18047848",7
"GO:0071554","BP","GO:0071554","cell wall organization or biogenesis","41/752","181/5590",0.000408815191868633,0.0234484713621794,0.0213628991239624,"LOC18054743/LOC18055588/LOC18054143/LOC18054145/LOC18054151/LOC18054152/LOC18054158/LOC18053866/LOC18052688/LOC18053215/LOC18050634/LOC18047309/LOC18046510/LOC18047842/LOC18049131/LOC18050261/LOC18050256/LOC18049952/LOC18049816/LOC18044285/LOC18044384/LOC18045452/LOC18043997/LOC18040585/LOC18041518/LOC18040741/LOC18041628/LOC18038054/LOC18039260/LOC18038946/LOC18037118/LOC18035694/LOC18037502/LOC18035691/LOC18034517/LOC18034411/LOC18031389/LOC18054640/LOC18047845/LOC18047848/LOC18048043",41
"GO:0005991","BP","GO:0005991","trehalose metabolic process","8/752","16/5590",0.000490297962257903,0.0262472842462064,0.0239127778083679,"LOC18052900/LOC18053090/LOC18047722/LOC18049897/LOC18044411/LOC18042510/LOC18036681/LOC18031286",8
"GO:0044282","BP","GO:0044282","small molecule catabolic process","18/752","60/5590",0.000620555968119754,0.0311441526500102,0.0283741051212651,"LOC18056154/LOC18054179/LOC18055591/LOC18052262/LOC18045924/LOC18045848/LOC18045476/LOC18044303/LOC18044642/LOC18040657/LOC18038722/LOC18039477/LOC18035822/LOC18035011/LOC18034922/LOC18034135/LOC18035254/LOC18032986",18
"GO:0005984","BP","GO:0005984","disaccharide metabolic process","12/752","33/5590",0.000760140308586722,0.0359054510467728,0.0327119204004812,"LOC18052900/LOC18053090/LOC18047722/LOC18049897/LOC18044411/LOC18042510/LOC18042730/LOC18038613/LOC18036681/LOC18035546/LOC18031298/LOC18031286",12
