"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071554","BP","GO:0071554","cell wall organization or biogenesis","71/1086","181/5590",2.85090297764603e-10,2.56581267988143e-07,2.21770242155833e-07,"LOC18054789/LOC18054743/LOC18054745/LOC18055586/LOC18055588/LOC18056035/LOC18054143/LOC18054145/LOC18054151/LOC18054152/LOC18054158/LOC18053866/LOC18051551/LOC18052688/LOC18052474/LOC18053215/LOC18050634/LOC18046666/LOC18046667/LOC18050337/LOC18047568/LOC18046510/LOC18049220/LOC18047842/LOC18047847/LOC18049131/LOC18050261/LOC18049952/LOC18049816/LOC18046728/LOC18044285/LOC18044426/LOC18045452/LOC18043584/LOC18043997/LOC18045202/LOC18040585/LOC18040339/LOC18041518/LOC18040742/LOC18040741/LOC18041628/LOC18042773/LOC18040604/LOC18040195/LOC18039625/LOC18038054/LOC18039260/LOC18038946/LOC18038018/LOC18039355/LOC18038806/LOC18037938/LOC18035694/LOC18037849/LOC18036087/LOC18037183/LOC18035691/LOC18034655/LOC18034517/LOC18033974/LOC18033703/LOC18034971/LOC18033611/LOC18034104/LOC18034411/LOC18031830/LOC18031389/LOC18031716/LOC18047845/LOC18048043",71
"GO:0044262","BP","GO:0044262","cellular carbohydrate metabolic process","64/1086","178/5590",1.15172969936528e-07,5.18278364714374e-05,4.47962235700494e-05,"LOC18054789/LOC18056154/LOC18054179/LOC18055180/LOC18054645/LOC18054143/LOC18054144/LOC18054145/LOC18054151/LOC18054152/LOC18054158/LOC18054628/LOC18053866/LOC18051551/LOC18052941/LOC18050365/LOC18053215/LOC18053090/LOC18046063/LOC18048123/LOC18047722/LOC18046510/LOC18049441/LOC18049259/LOC18049131/LOC18050333/LOC18046960/LOC18048822/LOC18044491/LOC18044851/LOC18043584/LOC18043997/LOC18044411/LOC18040647/LOC18041528/LOC18041518/LOC18041977/LOC18042073/LOC18042510/LOC18042773/LOC18040604/LOC18041697/LOC18038018/LOC18038088/LOC18038613/LOC18035694/LOC18037291/LOC18035822/LOC18036087/LOC18037183/LOC18035848/LOC18036681/LOC18035691/LOC18033703/LOC18035119/LOC18034922/LOC18034971/LOC18034104/LOC18031298/LOC18032223/LOC18032986/LOC18031716/LOC18031286/LOC18046713",64
"GO:0071555","BP","GO:0071555","cell wall organization","53/1086","141/5590",2.85139652872347e-07,8.55418958617042e-05,7.39362117447946e-05,"LOC18054789/LOC18054743/LOC18054745/LOC18055586/LOC18055588/LOC18056035/LOC18054143/LOC18054145/LOC18054151/LOC18054152/LOC18054158/LOC18053866/LOC18051551/LOC18052688/LOC18052474/LOC18053215/LOC18046666/LOC18046667/LOC18050337/LOC18047568/LOC18049220/LOC18049131/LOC18050261/LOC18049952/LOC18046728/LOC18044285/LOC18044426/LOC18045452/LOC18043997/LOC18045202/LOC18040585/LOC18041518/LOC18040742/LOC18040741/LOC18041628/LOC18042773/LOC18040195/LOC18039625/LOC18039260/LOC18038946/LOC18039355/LOC18038806/LOC18037849/LOC18036087/LOC18037183/LOC18035691/LOC18034971/LOC18033611/LOC18034104/LOC18034411/LOC18031830/LOC18031716/LOC18048043",53
"GO:0045229","BP","GO:0045229","external encapsulating structure organization","53/1086","146/5590",1.02377527508154e-06,0.000189365710151902,0.000163673988072813,"LOC18054789/LOC18054743/LOC18054745/LOC18055586/LOC18055588/LOC18056035/LOC18054143/LOC18054145/LOC18054151/LOC18054152/LOC18054158/LOC18053866/LOC18051551/LOC18052688/LOC18052474/LOC18053215/LOC18046666/LOC18046667/LOC18050337/LOC18047568/LOC18049220/LOC18049131/LOC18050261/LOC18049952/LOC18046728/LOC18044285/LOC18044426/LOC18045452/LOC18043997/LOC18045202/LOC18040585/LOC18041518/LOC18040742/LOC18040741/LOC18041628/LOC18042773/LOC18040195/LOC18039625/LOC18039260/LOC18038946/LOC18039355/LOC18038806/LOC18037849/LOC18036087/LOC18037183/LOC18035691/LOC18034971/LOC18033611/LOC18034104/LOC18034411/LOC18031830/LOC18031716/LOC18048043",53
"GO:0044036","BP","GO:0044036","cell wall macromolecule metabolic process","25/1086","50/5590",1.05203172306612e-06,0.000189365710151902,0.000163673988072813,"LOC18054151/LOC18054152/LOC18054158/LOC18051551/LOC18046510/LOC18047842/LOC18047847/LOC18049816/LOC18043584/LOC18043997/LOC18040339/LOC18041518/LOC18040604/LOC18038018/LOC18035694/LOC18035691/LOC18034655/LOC18034517/LOC18033974/LOC18033703/LOC18034971/LOC18034104/LOC18031389/LOC18031716/LOC18047845",25
"GO:0005976","BP","GO:0005976","polysaccharide metabolic process","66/1086","197/5590",1.4240032160315e-06,0.000213600482404725,0.000184620767832856,"LOC18054789/LOC18055180/LOC18054743/LOC18054745/LOC18055586/LOC18055588/LOC18054143/LOC18054144/LOC18054145/LOC18054151/LOC18054152/LOC18054158/LOC18053866/LOC18051551/LOC18053419/LOC18053108/LOC18052688/LOC18050365/LOC18052474/LOC18053215/LOC18046063/LOC18048123/LOC18048635/LOC18047568/LOC18046510/LOC18049441/LOC18049131/LOC18050261/LOC18050333/LOC18049952/LOC18046960/LOC18048822/LOC18046728/LOC18044292/LOC18045452/LOC18043584/LOC18043997/LOC18040647/LOC18041528/LOC18041518/LOC18042073/LOC18041628/LOC18042773/LOC18040604/LOC18041697/LOC18040027/LOC18039625/LOC18038018/LOC18038806/LOC18038088/LOC18035694/LOC18037291/LOC18037849/LOC18036087/LOC18037183/LOC18035691/LOC18033703/LOC18035119/LOC18034971/LOC18034104/LOC18032223/LOC18032167/LOC18032461/LOC18031716/LOC18048043/LOC18039898",66
"GO:0016051","BP","GO:0016051","carbohydrate biosynthetic process","46/1086","128/5590",7.24985762386456e-06,0.000932124551639729,0.000805660869779836,"LOC18054789/LOC18056154/LOC18055180/LOC18055630/LOC18054628/LOC18053866/LOC18052197/LOC18053215/LOC18053090/LOC18046063/LOC18047722/LOC18046510/LOC18049259/LOC18049131/LOC18050333/LOC18046960/LOC18048822/LOC18046728/LOC18044232/LOC18045452/LOC18043584/LOC18044411/LOC18042252/LOC18041528/LOC18041977/LOC18042073/LOC18040627/LOC18042510/LOC18042773/LOC18040604/LOC18038018/LOC18038088/LOC18038615/LOC18035694/LOC18037291/LOC18037191/LOC18035822/LOC18036087/LOC18037183/LOC18035848/LOC18036681/LOC18033703/LOC18035119/LOC18032223/LOC18032986/LOC18031286",46
"GO:0044550","BP","GO:0044550","secondary metabolite biosynthetic process","10/1086","13/5590",1.18941249185702e-05,0.00133808905333914,0.00115654714668728,"LOC18047120/LOC18048035/LOC18045747/LOC18043571/LOC18042675/LOC18038722/LOC18038027/LOC18036699/LOC18033836/LOC18034906",10
"GO:0019748","BP","GO:0019748","secondary metabolic process","19/1086","38/5590",2.10461373792913e-05,0.00204438600094853,0.00176701901134616,"LOC18047120/LOC18048035/LOC18045747/LOC18045354/LOC18043571/LOC18043894/LOC18042675/LOC18038722/LOC18039542/LOC18039489/LOC18039490/LOC18037896/LOC18038027/LOC18037393/LOC18036699/LOC18033836/LOC18034906/LOC18034930/LOC18034509",19
"GO:0006865","BP","GO:0006865","amino acid transport","21/1086","45/5590",2.98017390174394e-05,0.00204438600094853,0.00176701901134616,"LOC18055229/LOC18055230/LOC18051129/LOC18053579/LOC18052351/LOC18049857/LOC18047579/LOC18046233/LOC18045480/LOC18044951/LOC18045433/LOC18044564/LOC18040207/LOC18041578/LOC18038157/LOC18038108/LOC18038820/LOC18034196/LOC18034947/LOC18035651/LOC18031402",21
