"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"cic00195","cic00195","Photosynthesis","21/800","45/4414",9.53793986786672e-06,0.000801288031014206,0.000601424426024392,"18054197/18054593/18051312/18052634/18050848/18051897/18050746/18046168/18046547/18046879/18049304/18044399/18044560/18041845/18042569/18041192/18043060/18037401/18036420/18034566/18034913",21
"cic00940","cic00940","Phenylpropanoid biosynthesis","57/800","188/4414",2.22300281587883e-05,0.000801288031014206,0.000601424426024392,"18054497/18054575/18054131/18051456/18052497/18052498/18050365/18052395/18052397/18050743/18050151/18050154/18050156/18046298/18046299/18047440/18045884/18045154/18045039/18045038/18043947/18043571/18044238/18044657/18043266/18043267/18040739/18042352/18040966/18041836/18038827/18038722/18038426/18039759/18039411/18037541/18036678/18036699/18036045/18035701/18037507/18037805/18035881/18037660/18036308/18035687/18035333/18035451/18034351/18034975/18033836/18034906/18033532/18032627/18032464/18033209/18031740",57
"cic00710","cic00710","Carbon fixation in photosynthetic organisms","24/800","58/4414",2.78708880352767e-05,0.000801288031014206,0.000601424426024392,"18054901/18055054/18054367/18055630/18051549/18047218/18046576/18045352/18043642/18043504/18044762/18045691/18042252/18040221/18040627/18040806/18040275/18038922/18038615/18037191/18034756/18032294/18033002/18031724",24
"cic00941","cic00941","Flavonoid biosynthesis","24/800","58/4414",2.78708880352767e-05,0.000801288031014206,0.000601424426024392,"18052259/18051925/18050323/18048151/18048154/18044429/18043493/18040739/18042352/18040550/18042808/18041836/18038426/18039759/18036490/18036254/18037475/18037507/18037805/18035687/18035451/18034320/18034351/18033130",24
"cic01200","cic01200","Carbon metabolism","66/800","231/4414",4.19415835168912e-05,0.000964656420888497,0.000724044178607384,"18054901/18055054/18055481/18054367/18055508/18055630/18054254/18052496/18050546/18051549/18051640/18051766/18050642/18050645/18048408/18050199/18048681/18046009/18049660/18048547/18049241/18045998/18047218/18046576/18045352/18043642/18045677/18044642/18043596/18045615/18044491/18045656/18044409/18043504/18044851/18043397/18044762/18045691/18042252/18040221/18042932/18040627/18042459/18042236/18040806/18040240/18041274/18040275/18039479/18038922/18038615/18038394/18037191/18036914/18036649/18036724/18035874/18034004/18034756/18031784/18032294/18033002/18032073/18032013/18031724/18046713",66
"cic00053","cic00053","Ascorbate and aldarate metabolism","21/800","52/4414",0.000134150392971722,0.00257121586529134,0.00192988284625986,"18056154/18055221/18050900/18051075/18051200/18048583/18049562/18044232/18043998/18045292/18040776/18039197/18039940/18037287/18036436/18035822/18034922/18032986/18032114/18033236/18039804",21
"cic04075","cic04075","Plant hormone signal transduction","65/800","237/4414",0.000183387015216805,0.0030127866785618,0.00226131357109444,"18054200/18055059/18054398/18054871/18055572/18055439/18054493/18054772/18055755/18054143/18054145/18054150/18054151/18054152/18054158/18052627/18051150/18053492/18053390/18049210/18048122/18049926/18049391/18048976/18046752/18049839/18048998/18047540/18048045/18045480/18043925/18045555/18045294/18040264/18043042/18041892/18038157/18039631/18038788/18035753/18036545/18036546/18036454/18036412/18036413/18037715/18035690/18035691/18034947/18033740/18033692/18033753/18035131/18034212/18034313/18034820/18035617/18033888/18032009/18031625/18031847/18032958/18033124/18042631/18034544",65
"cic00360","cic00360","Phenylalanine metabolism","19/800","49/4414",0.000514920146353179,0.00740197710382695,0.00555571736854746,"18054901/18054023/18056111/18052826/18043571/18045583/18038827/18038722/18037030/18037081/18037218/18037575/18033993/18033836/18034906/18031365/18031211/18031198/18050847",19
"cic00630","cic00630","Glyoxylate and dicarboxylate metabolism","22/800","62/4414",0.000807228415653905,0.0103145853111332,0.00774183977586201,"18055481/18055630/18050546/18051640/18050645/18046009/18046576/18044642/18045691/18041274/18039479/18038615/18036914/18036649/18036724/18034004/18031784/18032221/18033002/18032011/18033119/18046713",22
"cic00350","cic00350","Tyrosine metabolism","19/800","53/4414",0.00157098105559109,0.0173682987637765,0.0130361601705233,"18054901/18054023/18056111/18052826/18047180/18048547/18045583/18042459/18042246/18040240/18037030/18037081/18037218/18037575/18032906/18031365/18031211/18031198/18050847",19
"cic00620","cic00620","Pyruvate metabolism","28/800","90/4414",0.00179878403611532,0.0173682987637765,0.0130361601705233,"18055054/18055508/18050642/18047180/18049707/18048547/18049241/18046576/18043642/18045677/18044409/18043504/18043998/18040627/18042459/18042246/18040240/18039940/18038394/18037287/18037191/18036436/18031784/18032294/18033002/18032073/18032013/18046713",28
"cic00910","cic00910","Nitrogen metabolism","12/800","28/4414",0.00203857905781393,0.0173682987637765,0.0130361601705233,"18050687/18050888/18049660/18045615/18044853/18044137/18040341/18039560/18033849/18033757/18032221/18032011",12
"cic00960","cic00960","Tropane, piperidine and pyridine alkaloid biosynthesis","15/800","39/4414",0.00216965625500778,0.0173682987637765,0.0130361601705233,"18054901/18054023/18052826/18045583/18039168/18038903/18039663/18039754/18038881/18037030/18034137/18035346/18031365/18031211/18031198",15
"cic00591","cic00591","Linoleic acid metabolism","8/800","15/4414",0.00217195759008792,0.0173682987637765,0.0130361601705233,"18053046/18053048/18053049/18052053/18052054/18051664/18040235/18031375",8
"cic00520","cic00520","Amino sugar and nucleotide sugar metabolism","34/800","117/4414",0.00226543027353607,0.0173682987637765,0.0130361601705233,"18054856/18055520/18054071/18051200/18048583/18046474/18049562/18046134/18046136/18047842/18047843/18047847/18050333/18046960/18046728/18044485/18045451/18045292/18042394/18041989/18040339/18040776/18039401/18037784/18034655/18034517/18033974/18035119/18035312/18032114/18031437/18033236/18032558/18047845",34
"cic00500","cic00500","Starch and sucrose metabolism","40/800","145/4414",0.00281512737298998,0.0202337279933655,0.015186871354288,"18054575/18054645/18054628/18051455/18053108/18050365/18052395/18052397/18053090/18046833/18048123/18047722/18049137/18049441/18049259/18047440/18046960/18048822/18044238/18044411/18045113/18044657/18043266/18043267/18040647/18041977/18042510/18043125/18042626/18038088/18038613/18039401/18037291/18037744/18036645/18036681/18035119/18034209/18032167/18031286",40
"cic00950","cic00950","Isoquinoline alkaloid biosynthesis","12/800","31/4414",0.0055701910445221,0.0376807041247083,0.0282820845604218,"18054901/18054023/18052826/18045583/18037030/18037081/18037218/18037575/18031365/18031211/18031198/18050847",12
"cic04626","cic04626","Plant-pathogen interaction","52/800","209/4414",0.00761992534375745,0.0483282850854798,0.0362738615744562,"18053947/18054839/18056093/18054460/18055089/18055093/18055103/18054370/18054372/18054373/18054380/18054709/18054710/18055442/18051600/18053406/18046431/18049924/18049170/18048022/18046037/18046039/18046487/18048003/18048239/18043489/18044777/18043707/18044668/18040598/18040837/18041223/18041224/18040301/18038293/18038027/18038286/18038463/18039805/18038290/18039642/18039643/18037397/18033740/18034434/18034415/18034921/18031882/18032103/18031595/18052971/18032711",52
"cic00460","cic00460","Cyanoamino acid metabolism","17/800","52/4414",0.00798467318803579,0.0483282850854798,0.0362738615744562,"18056151/18054575/18050365/18052395/18052397/18047440/18045998/18044431/18044432/18044238/18044657/18043266/18043267/18040693/18036914/18037363/18033040",17
