"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","BP","GO:0015979","photosynthesis","42/954","90/5590",4.96210455377696e-11,4.18305413883398e-08,3.8077623365299e-08,"LOC18053775/LOC18054210/LOC18054549/LOC18055495/LOC18055368/LOC18055316/LOC18052634/LOC18052032/LOC18052292/LOC18051323/LOC18052598/LOC18051870/LOC18053261/LOC18053263/LOC18046386/LOC18048643/LOC18045777/LOC18045785/LOC18048155/LOC18046547/LOC18045866/LOC18046879/LOC18045518/LOC18045520/LOC18044863/LOC18044589/LOC18043590/LOC18041475/LOC18042252/LOC18040285/LOC18041099/LOC18042569/LOC18041202/LOC18042622/LOC18038877/LOC18039962/LOC18038615/LOC18037749/LOC18036749/LOC18035158/LOC18032961/LOC18031746",42
"GO:0009765","BP","GO:0009765","photosynthesis, light harvesting","14/954","17/5590",6.68332663736453e-09,2.81702217764915e-06,2.56428690454671e-06,"LOC18054549/LOC18055368/LOC18052032/LOC18051870/LOC18053261/LOC18053263/LOC18045785/LOC18048155/LOC18044863/LOC18043590/LOC18041475/LOC18041202/LOC18038877/LOC18035158",14
"GO:0006865","BP","GO:0006865","amino acid transport","21/954","45/5590",3.64469150731487e-06,0.00102415831355548,0.000932273722397383,"LOC18053962/LOC18055230/LOC18054614/LOC18051129/LOC18053579/LOC18052351/LOC18049857/LOC18047579/LOC18046233/LOC18045480/LOC18045142/LOC18044564/LOC18045672/LOC18041501/LOC18038108/LOC18038820/LOC18034188/LOC18034196/LOC18034947/LOC18042449/LOC18035533",21
"GO:0009719","BP","GO:0009719","response to endogenous stimulus","75/954","272/5590",6.01906178706436e-06,0.00126851727162381,0.00115470948493945,"LOC18054850/LOC18055572/LOC18055782/LOC18055428/LOC18056065/LOC18052492/LOC18053149/LOC18050781/LOC18051721/LOC18051419/LOC18052602/LOC18051867/LOC18052168/LOC18053388/LOC18047042/LOC18047689/LOC18048628/LOC18048665/LOC18048976/LOC18046344/LOC18049839/LOC18047540/LOC18048045/LOC18043519/LOC18044653/LOC18044262/LOC18043537/LOC18045294/LOC18044687/LOC18042675/LOC18041690/LOC18041892/LOC18041852/LOC18041027/LOC18042020/LOC18042156/LOC18041942/LOC18040175/LOC18039469/LOC18039631/LOC18038768/LOC18039706/LOC18039156/LOC18038853/LOC18038673/LOC18039760/LOC18038199/LOC18036821/LOC18034309/LOC18033791/LOC18034126/LOC18035015/LOC18033848/LOC18033753/LOC18034781/LOC18033610/LOC18034212/LOC18034313/LOC18034800/LOC18033616/LOC18035062/LOC18034114/LOC18033888/LOC18035349/LOC18033387/LOC18033438/LOC18033287/LOC18033276/LOC18033281/LOC18032887/LOC18032009/LOC18033124/LOC18031642/LOC18032769/LOC18031489",75
"GO:0009725","BP","GO:0009725","response to hormone","74/954","271/5590",1.01742826474096e-05,0.00171538405435326,0.00156148464209718,"LOC18054850/LOC18055572/LOC18055782/LOC18055428/LOC18056065/LOC18052492/LOC18053149/LOC18050781/LOC18051721/LOC18051419/LOC18052602/LOC18051867/LOC18052168/LOC18053388/LOC18047042/LOC18047689/LOC18048628/LOC18048665/LOC18048976/LOC18046344/LOC18049839/LOC18047540/LOC18048045/LOC18043519/LOC18044653/LOC18044262/LOC18043537/LOC18045294/LOC18044687/LOC18042675/LOC18041690/LOC18041892/LOC18041852/LOC18041027/LOC18042020/LOC18042156/LOC18041942/LOC18039469/LOC18039631/LOC18038768/LOC18039706/LOC18039156/LOC18038853/LOC18038673/LOC18039760/LOC18038199/LOC18036821/LOC18034309/LOC18033791/LOC18034126/LOC18035015/LOC18033848/LOC18033753/LOC18034781/LOC18033610/LOC18034212/LOC18034313/LOC18034800/LOC18033616/LOC18035062/LOC18034114/LOC18033888/LOC18035349/LOC18033387/LOC18033438/LOC18033287/LOC18033276/LOC18033281/LOC18032887/LOC18032009/LOC18033124/LOC18031642/LOC18032769/LOC18031489",74
"GO:0042744","BP","GO:0042744","hydrogen peroxide catabolic process","18/954","39/5590",2.19611060915695e-05,0.00235956759451313,0.00214787385452965,"LOC18054232/LOC18052498/LOC18052500/LOC18052501/LOC18050450/LOC18050743/LOC18044375/LOC18043565/LOC18038860/LOC18037787/LOC18037541/LOC18036678/LOC18036699/LOC18036045/LOC18035701/LOC18031740/LOC18048798/LOC18032359",18
"GO:0042221","BP","GO:0042221","response to chemical","96/954","382/5590",2.24078635536815e-05,0.00235956759451313,0.00214787385452965,"LOC18054850/LOC18055572/LOC18055782/LOC18055428/LOC18056065/LOC18052492/LOC18051599/LOC18053149/LOC18050781/LOC18051556/LOC18051721/LOC18051323/LOC18051419/LOC18052602/LOC18051867/LOC18052168/LOC18053388/LOC18046431/LOC18047042/LOC18047689/LOC18048628/LOC18048665/LOC18048976/LOC18047764/LOC18046011/LOC18049647/LOC18049277/LOC18046344/LOC18049839/LOC18047913/LOC18050333/LOC18047540/LOC18048045/LOC18043519/LOC18044653/LOC18044262/LOC18043537/LOC18045294/LOC18044687/LOC18045268/LOC18042675/LOC18041690/LOC18041892/LOC18041852/LOC18041027/LOC18042020/LOC18041337/LOC18042156/LOC18041942/LOC18040175/LOC18039469/LOC18038374/LOC18039631/LOC18038027/LOC18038768/LOC18039706/LOC18039156/LOC18039917/LOC18038853/LOC18038673/LOC18039760/LOC18038401/LOC18038199/LOC18037502/LOC18036503/LOC18036821/LOC18037266/LOC18034309/LOC18033791/LOC18034126/LOC18035015/LOC18033848/LOC18033753/LOC18034781/LOC18033610/LOC18034212/LOC18034313/LOC18034800/LOC18033616/LOC18034434/LOC18035062/LOC18034114/LOC18033888/LOC18035349/LOC18034415/LOC18033387/LOC18033438/LOC18033287/LOC18033276/LOC18033281/LOC18032887/LOC18032009/LOC18033124/LOC18031642/LOC18032769/LOC18031489",96
"GO:0010033","BP","GO:0010033","response to organic substance","79/954","301/5590",2.46027602287028e-05,0.00235956759451313,0.00214787385452965,"LOC18054850/LOC18055572/LOC18055782/LOC18055428/LOC18056065/LOC18052492/LOC18053149/LOC18050781/LOC18051721/LOC18051419/LOC18052602/LOC18051867/LOC18052168/LOC18053388/LOC18046431/LOC18047042/LOC18047689/LOC18048628/LOC18048665/LOC18048976/LOC18049647/LOC18046344/LOC18049839/LOC18047540/LOC18048045/LOC18043519/LOC18044653/LOC18044262/LOC18043537/LOC18045294/LOC18044687/LOC18042675/LOC18041690/LOC18041892/LOC18041852/LOC18041027/LOC18042020/LOC18042156/LOC18041942/LOC18040175/LOC18039469/LOC18039631/LOC18038027/LOC18038768/LOC18039706/LOC18039156/LOC18038853/LOC18038673/LOC18039760/LOC18038199/LOC18036821/LOC18037266/LOC18034309/LOC18033791/LOC18034126/LOC18035015/LOC18033848/LOC18033753/LOC18034781/LOC18033610/LOC18034212/LOC18034313/LOC18034800/LOC18033616/LOC18035062/LOC18034114/LOC18033888/LOC18035349/LOC18033387/LOC18033438/LOC18033287/LOC18033276/LOC18033281/LOC18032887/LOC18032009/LOC18033124/LOC18031642/LOC18032769/LOC18031489",79
"GO:0019684","BP","GO:0019684","photosynthesis, light reaction","19/954","43/5590",2.79901256763123e-05,0.00235956759451313,0.00214787385452965,"LOC18054549/LOC18055368/LOC18052634/LOC18052032/LOC18051323/LOC18051870/LOC18053261/LOC18053263/LOC18046386/LOC18045785/LOC18048155/LOC18044863/LOC18043590/LOC18041475/LOC18041202/LOC18038877/LOC18036749/LOC18035158/LOC18032961",19
"GO:0042743","BP","GO:0042743","hydrogen peroxide metabolic process","19/954","43/5590",2.79901256763123e-05,0.00235956759451313,0.00214787385452965,"LOC18054232/LOC18052498/LOC18052500/LOC18052501/LOC18050450/LOC18050743/LOC18044375/LOC18043565/LOC18042675/LOC18038860/LOC18037787/LOC18037541/LOC18036678/LOC18036699/LOC18036045/LOC18035701/LOC18031740/LOC18048798/LOC18032359",19
