"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"cic00196","cic00196","Photosynthesis - antenna proteins","13/677","17/4414",3.06767661400486e-08,1.76173180716774e-06,1.4534913914044e-06,"18054549/18055368/18052032/18053261/18053263/18045785/18048155/18044863/18043590/18041475/18041202/18038877/18035158",13
"cic00940","cic00940","Phenylpropanoid biosynthesis","58/677","188/4414",3.17429154444638e-08,1.76173180716774e-06,1.4534913914044e-06,"18054232/18055849/18054575/18055509/18052498/18052500/18052501/18050450/18050365/18052397/18050743/18048117/18046501/18048368/18049500/18050151/18046298/18046299/18047440/18045884/18043961/18045154/18045038/18043565/18044719/18044659/18043267/18041383/18040739/18041836/18038827/18038722/18039411/18038860/18036838/18037787/18037076/18037541/18036678/18036699/18036045/18035701/18037660/18037667/18037750/18035687/18035333/18035677/18035451/18034351/18035112/18034906/18033676/18031740/18050006/18048798/18042182/18032359",58
"cic04075","cic04075","Plant hormone signal transduction","63/677","237/4414",3.08477026745734e-06,0.000114136499895922,9.4166671322382e-05,"18054200/18054673/18054871/18054509/18055572/18055782/18055439/18054149/18054150/18054151/18054152/18054158/18052741/18052627/18052162/18053390/18048122/18049926/18049391/18048976/18046344/18049839/18047706/18047007/18047540/18049830/18048045/18043434/18045480/18043519/18044653/18045294/18041892/18040694/18042398/18042156/18039469/18039631/18039156/18038788/18036545/18036546/18037715/18035690/18034947/18033740/18033692/18034456/18033753/18033610/18034212/18034313/18035062/18034114/18033888/18032009/18031847/18033124/18033189/18031668/18038130/18035981/18034544",63
"cic04016","cic04016","MAPK signaling pathway - plant","35/677","118/4414",4.75206762538383e-05,0.00131869876604401,0.00108797337739051,"18054673/18054509/18055439/18055914/18052640/18048122/18046431/18049391/18047706/18048239/18043434/18043519/18044970/18040837/18041919/18042242/18040636/18039469/18039631/18038027/18038290/18037118/18034655/18034517/18033974/18033740/18034434/18034415/18031882/18031847/18033079/18033189/18031668/18035981/18031940",35
"cic00195","cic00195","Photosynthesis","16/677","45/4414",0.00064500939680677,0.0143192086091103,0.0118138563204608,"18055495/18050406/18052634/18052292/18052598/18048643/18046547/18045866/18046879/18045518/18043967/18042569/18043060/18037749/18034913/18033147",16
"cic00960","cic00960","Tropane, piperidine and pyridine alkaloid biosynthesis","14/677","39/4414",0.00125136449495654,0.0208246634913582,0.0171810879445061,"18055958/18054023/18051556/18052826/18039970/18039663/18039754/18038881/18033937/18035377/18034137/18032887/18031365/18031198",14
"cic00460","cic00460","Cyanoamino acid metabolism","17/677","52/4414",0.00131326706702259,0.0208246634913582,0.0171810879445061,"18054575/18050365/18052397/18049291/18047440/18044430/18044431/18044432/18044659/18043267/18040693/18036914/18037363/18037324/18035112/18033676/18043917",17
"cic00260","cic00260","Glycine, serine and threonine metabolism","18/677","58/4414",0.00187110184729766,0.025961538131255,0.0214191921993285,"18055481/18054542/18050546/18050464/18048424/18044642/18042075/18038578/18038086/18036914/18037066/18036436/18037599/18034004/18032887/18031365/18031198/18033237",18
"cic00380","cic00380","Tryptophan metabolism","25/677","94/4414",0.00311272455469025,0.0383902695078464,0.0316733375740411,"18054532/18046975/18046501/18048368/18049500/18046298/18046299/18046227/18045154/18045038/18043347/18043998/18044914/18041681/18041383/18040184/18037287/18036436/18037667/18037750/18033993/18032212/18051743/18050006/18042182",25
"cic00950","cic00950","Isoquinoline alkaloid biosynthesis","11/677","31/4414",0.00455952556141506,0.0445185066853419,0.0367293511770957,"18055958/18054023/18051556/18052826/18053328/18046227/18043347/18040184/18032887/18031365/18031198",11
"cic00966","cic00966","Glucosinolate biosynthesis","8/677","19/4414",0.00460948171430346,0.0445185066853419,0.0367293511770957,"18044430/18044431/18044432/18044914/18040648/18041601/18034587/18043917",8
"cic00941","cic00941","Flavonoid biosynthesis","17/677","58/4414",0.00481281153355048,0.0445185066853419,0.0367293511770957,"18055509/18052259/18051925/18048117/18050323/18048154/18044429/18043493/18040739/18040550/18041836/18036490/18036254/18035687/18035451/18034351/18033130",17
