"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007049","BP","GO:0007049","cell cycle","47/819","167/5590",3.57663394741688e-06,0.0021341284640761,0.0019343722860077,"LOC18055300/LOC18056166/LOC18056158/LOC18053699/LOC18051120/LOC18052983/LOC18052839/LOC18051021/LOC18052543/LOC18051419/LOC18053282/LOC18048694/LOC18048255/LOC18049166/LOC18049220/LOC18047379/LOC18046393/LOC18049136/LOC18050333/LOC18047006/LOC18047822/LOC18044678/LOC18044765/LOC18043971/LOC18042160/LOC18042344/LOC18041326/LOC18042256/LOC18041778/LOC18040694/LOC18042850/LOC18040164/LOC18038875/LOC18039537/LOC18039124/LOC18038180/LOC18038819/LOC18035782/LOC18036371/LOC18035576/LOC18034545/LOC18034456/LOC18034827/LOC18032585/LOC18031733/LOC18031463/LOC18052047",47
"GO:0019748","BP","GO:0019748","secondary metabolic process","17/819","38/5590",7.76126170586543e-06,0.0021341284640761,0.0019343722860077,"LOC18047120/LOC18048035/LOC18045747/LOC18045354/LOC18043571/LOC18043894/LOC18038722/LOC18039542/LOC18039489/LOC18037896/LOC18038027/LOC18036699/LOC18033836/LOC18034906/LOC18034930/LOC18034509/LOC18032271",17
"GO:0006952","BP","GO:0006952","defense response","53/819","202/5590",8.44995891926776e-06,0.0021341284640761,0.0019343722860077,"LOC18056166/LOC18054016/LOC18055146/LOC18053060/LOC18050678/LOC18053579/LOC18052727/LOC18052579/LOC18048745/LOC18046220/LOC18047119/LOC18048466/LOC18048543/LOC18048758/LOC18048772/LOC18048769/LOC18046675/LOC18046682/LOC18046676/LOC18047288/LOC18046142/LOC18047673/LOC18047675/LOC18047125/LOC18048213/LOC18046495/LOC18045756/LOC18043612/LOC18043712/LOC18044403/LOC18045399/LOC18042952/LOC18040175/LOC18039099/LOC18038027/LOC18038768/LOC18037266/LOC18034908/LOC18034434/LOC18034249/LOC18034444/LOC18035246/LOC18034811/LOC18033387/LOC18033438/LOC18033276/LOC18033035/LOC18031766/LOC18031765/LOC18031285/LOC18031489/LOC18033452/LOC18049078",53
"GO:0000280","BP","GO:0000280","nuclear division","17/819","39/5590",1.19045344853687e-05,0.0021341284640761,0.0019343722860077,"LOC18056166/LOC18056158/LOC18052839/LOC18051021/LOC18052543/LOC18048694/LOC18049166/LOC18047379/LOC18049136/LOC18044678/LOC18044765/LOC18041326/LOC18040164/LOC18039124/LOC18034827/LOC18032585/LOC18031455",17
"GO:0044550","BP","GO:0044550","secondary metabolite biosynthetic process","9/819","13/5590",1.22510244780488e-05,0.0021341284640761,0.0019343722860077,"LOC18047120/LOC18048035/LOC18045747/LOC18043571/LOC18038722/LOC18038027/LOC18036699/LOC18033836/LOC18034906",9
"GO:0044262","BP","GO:0044262","cellular carbohydrate metabolic process","47/819","178/5590",2.30352437694348e-05,0.00334394955386295,0.00303095312755721,"LOC18056154/LOC18054179/LOC18055180/LOC18055185/LOC18055189/LOC18055908/LOC18054143/LOC18054145/LOC18054151/LOC18054152/LOC18054158/LOC18054628/LOC18053866/LOC18052941/LOC18050938/LOC18052685/LOC18047949/LOC18047773/LOC18047722/LOC18046510/LOC18049441/LOC18047138/LOC18046805/LOC18049131/LOC18050333/LOC18043997/LOC18041528/LOC18041518/LOC18041977/LOC18042510/LOC18042773/LOC18038018/LOC18038613/LOC18037502/LOC18035822/LOC18036681/LOC18035691/LOC18035119/LOC18034922/LOC18031298/LOC18031960/LOC18032223/LOC18032986/LOC18031286/LOC18055183/LOC18046713/LOC18047051",47
"GO:0009698","BP","GO:0009698","phenylpropanoid metabolic process","14/819","30/5590",2.77013426187354e-05,0.0034138255058321,0.00309428863299785,"LOC18047120/LOC18045747/LOC18045354/LOC18043571/LOC18038722/LOC18039542/LOC18039489/LOC18037896/LOC18036699/LOC18033836/LOC18034906/LOC18034930/LOC18034509/LOC18032271",14
"GO:0006022","BP","GO:0006022","aminoglycan metabolic process","8/819","12/5590",5.87914840269592e-05,0.0034138255058321,0.00309428863299785,"LOC18047842/LOC18049816/LOC18040339/LOC18037118/LOC18034517/LOC18033974/LOC18031389/LOC18047845",8
"GO:0006026","BP","GO:0006026","aminoglycan catabolic process","8/819","12/5590",5.87914840269592e-05,0.0034138255058321,0.00309428863299785,"LOC18047842/LOC18049816/LOC18040339/LOC18037118/LOC18034517/LOC18033974/LOC18031389/LOC18047845",8
"GO:0006030","BP","GO:0006030","chitin metabolic process","8/819","12/5590",5.87914840269592e-05,0.0034138255058321,0.00309428863299785,"LOC18047842/LOC18049816/LOC18040339/LOC18037118/LOC18034517/LOC18033974/LOC18031389/LOC18047845",8
"GO:0006032","BP","GO:0006032","chitin catabolic process","8/819","12/5590",5.87914840269592e-05,0.0034138255058321,0.00309428863299785,"LOC18047842/LOC18049816/LOC18040339/LOC18037118/LOC18034517/LOC18033974/LOC18031389/LOC18047845",8
"GO:0016998","BP","GO:0016998","cell wall macromolecule catabolic process","8/819","12/5590",5.87914840269592e-05,0.0034138255058321,0.00309428863299785,"LOC18047842/LOC18049816/LOC18040339/LOC18037118/LOC18034517/LOC18033974/LOC18031389/LOC18047845",8
"GO:0046348","BP","GO:0046348","amino sugar catabolic process","8/819","12/5590",5.87914840269592e-05,0.0034138255058321,0.00309428863299785,"LOC18047842/LOC18049816/LOC18040339/LOC18037118/LOC18034517/LOC18033974/LOC18031389/LOC18047845",8
"GO:1901071","BP","GO:1901071","glucosamine-containing compound metabolic process","8/819","12/5590",5.87914840269592e-05,0.0034138255058321,0.00309428863299785,"LOC18047842/LOC18049816/LOC18040339/LOC18037118/LOC18034517/LOC18033974/LOC18031389/LOC18047845",8
"GO:1901072","BP","GO:1901072","glucosamine-containing compound catabolic process","8/819","12/5590",5.87914840269592e-05,0.0034138255058321,0.00309428863299785,"LOC18047842/LOC18049816/LOC18040339/LOC18037118/LOC18034517/LOC18033974/LOC18031389/LOC18047845",8
"GO:0007140","BP","GO:0007140","male meiotic nuclear division","7/819","10/5590",0.000113192871942225,0.00616193696635487,0.00558517460241241,"LOC18056166/LOC18052543/LOC18047379/LOC18049136/LOC18044678/LOC18041326/LOC18032585",7
