"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","BP","GO:0015979","photosynthesis","80/2492","90/5590",8.28662419303067e-19,8.17889807852127e-16,7.51902110988678e-16,"LOC18053944/LOC18055063/LOC18055397/LOC18054519/LOC18053775/LOC18054210/LOC18054549/LOC18054593/LOC18055495/LOC18055316/LOC18055991/LOC18055630/LOC18053144/LOC18050980/LOC18052634/LOC18050841/LOC18052032/LOC18052292/LOC18052694/LOC18051323/LOC18051897/LOC18052598/LOC18051870/LOC18051773/LOC18053347/LOC18053261/LOC18053263/LOC18050593/LOC18046386/LOC18047156/LOC18045777/LOC18045785/LOC18046168/LOC18048155/LOC18049269/LOC18046547/LOC18045866/LOC18046879/LOC18044075/LOC18045518/LOC18045520/LOC18044863/LOC18044399/LOC18043836/LOC18044589/LOC18043590/LOC18044560/LOC18045619/LOC18041475/LOC18042579/LOC18041631/LOC18040566/LOC18042252/LOC18042081/LOC18040285/LOC18041099/LOC18040979/LOC18042569/LOC18041924/LOC18041192/LOC18041202/LOC18042622/LOC18038877/LOC18039361/LOC18039962/LOC18039516/LOC18038615/LOC18036420/LOC18037749/LOC18036749/LOC18036751/LOC18034139/LOC18035158/LOC18034566/LOC18035077/LOC18034764/LOC18031419/LOC18032543/LOC18032961/LOC18031746",80
"GO:0006091","BP","GO:0006091","generation of precursor metabolites and energy","90/2492","130/5590",8.24448913233956e-09,4.06865538680957e-06,3.74039454319826e-06,"LOC18053944/LOC18055397/LOC18055984/LOC18054549/LOC18054593/LOC18054604/LOC18055214/LOC18054367/LOC18055991/LOC18050513/LOC18050980/LOC18052969/LOC18053611/LOC18052634/LOC18050841/LOC18050389/LOC18052032/LOC18052589/LOC18052694/LOC18051323/LOC18051870/LOC18053354/LOC18053261/LOC18053263/LOC18046386/LOC18049898/LOC18047156/LOC18045776/LOC18045785/LOC18046168/LOC18048968/LOC18047619/LOC18048455/LOC18048155/LOC18050024/LOC18048029/LOC18046858/LOC18046960/LOC18044197/LOC18044075/LOC18044474/LOC18044863/LOC18044303/LOC18045656/LOC18043590/LOC18045003/LOC18045098/LOC18041475/LOC18040745/LOC18040566/LOC18042081/LOC18042236/LOC18042243/LOC18042967/LOC18041192/LOC18041202/LOC18042441/LOC18041600/LOC18041588/LOC18038390/LOC18038877/LOC18039361/LOC18038086/LOC18038462/LOC18038088/LOC18038845/LOC18038401/LOC18037111/LOC18036420/LOC18036530/LOC18037781/LOC18035909/LOC18036749/LOC18036751/LOC18035427/LOC18034657/LOC18035119/LOC18034756/LOC18034154/LOC18035158/LOC18035077/LOC18034764/LOC18031960/LOC18032543/LOC18032961/LOC18033078/LOC18032972/LOC18031724/LOC18046713/LOC18042718",90
"GO:0019684","BP","GO:0019684","photosynthesis, light reaction","37/2492","43/5590",1.87630721810537e-08,6.17305074756668e-06,5.67500639300643e-06,"LOC18053944/LOC18055397/LOC18054549/LOC18054593/LOC18055991/LOC18050980/LOC18052634/LOC18050841/LOC18052032/LOC18052694/LOC18051323/LOC18051870/LOC18053261/LOC18053263/LOC18046386/LOC18047156/LOC18045785/LOC18046168/LOC18048155/LOC18044075/LOC18044863/LOC18043590/LOC18041475/LOC18040566/LOC18042081/LOC18041192/LOC18041202/LOC18038877/LOC18039361/LOC18036420/LOC18036749/LOC18036751/LOC18035158/LOC18035077/LOC18034764/LOC18032543/LOC18032961",37
"GO:0044282","BP","GO:0044282","small molecule catabolic process","45/2492","60/5590",1.47076094495206e-06,0.00036291026316692,0.000333630509091756,"LOC18055481/LOC18056154/LOC18054004/LOC18054179/LOC18054604/LOC18055591/LOC18052262/LOC18050981/LOC18051504/LOC18050389/LOC18051867/LOC18052155/LOC18050464/LOC18050998/LOC18045924/LOC18047109/LOC18047138/LOC18045848/LOC18048344/LOC18045476/LOC18043571/LOC18044303/LOC18044642/LOC18044491/LOC18044044/LOC18045193/LOC18043838/LOC18040657/LOC18038722/LOC18038086/LOC18039477/LOC18035822/LOC18036541/LOC18036670/LOC18035395/LOC18035011/LOC18034922/LOC18034135/LOC18033836/LOC18034906/LOC18035254/LOC18032845/LOC18032986/LOC18031487/LOC18031917",45
"GO:0016051","BP","GO:0016051","carbohydrate biosynthetic process","83/2492","128/5590",2.42159577147209e-06,0.000478023005288591,0.000439455906317673,"LOC18054473/LOC18054789/LOC18056154/LOC18054554/LOC18054597/LOC18055214/LOC18055185/LOC18055832/LOC18055630/LOC18054628/LOC18053866/LOC18053008/LOC18053001/LOC18052790/LOC18051405/LOC18052197/LOC18053215/LOC18053226/LOC18053090/LOC18050998/LOC18050595/LOC18047949/LOC18046063/LOC18047773/LOC18047722/LOC18049897/LOC18050345/LOC18046510/LOC18047138/LOC18046804/LOC18046805/LOC18048859/LOC18049183/LOC18048553/LOC18049131/LOC18050333/LOC18046960/LOC18048822/LOC18046728/LOC18044232/LOC18044682/LOC18043891/LOC18045452/LOC18043261/LOC18043584/LOC18044411/LOC18042252/LOC18041528/LOC18041977/LOC18042073/LOC18040627/LOC18042510/LOC18042773/LOC18040604/LOC18042441/LOC18041588/LOC18038018/LOC18039653/LOC18038088/LOC18038347/LOC18038615/LOC18038846/LOC18038404/LOC18035694/LOC18037291/LOC18037191/LOC18035822/LOC18036190/LOC18036087/LOC18037183/LOC18035848/LOC18036681/LOC18033703/LOC18035119/LOC18031960/LOC18031827/LOC18032223/LOC18032986/LOC18032032/LOC18032024/LOC18031286/LOC18033371/LOC18033220",83
"GO:0034637","BP","GO:0034637","cellular carbohydrate biosynthetic process","61/2492","91/5590",1.11912663825326e-05,0.00184096331992662,0.00169243361784967,"LOC18054473/LOC18054789/LOC18054554/LOC18055214/LOC18055185/LOC18055832/LOC18054628/LOC18053866/LOC18053008/LOC18053001/LOC18053215/LOC18053226/LOC18053090/LOC18050998/LOC18047949/LOC18046063/LOC18047773/LOC18047722/LOC18049897/LOC18046510/LOC18047138/LOC18046804/LOC18046805/LOC18049183/LOC18048553/LOC18049131/LOC18050333/LOC18046960/LOC18048822/LOC18044682/LOC18043891/LOC18043261/LOC18043584/LOC18044411/LOC18041528/LOC18041977/LOC18042073/LOC18042510/LOC18042773/LOC18040604/LOC18042441/LOC18041588/LOC18038018/LOC18038088/LOC18038347/LOC18035694/LOC18037291/LOC18036190/LOC18036087/LOC18037183/LOC18035848/LOC18036681/LOC18033703/LOC18035119/LOC18031960/LOC18031827/LOC18032223/LOC18032032/LOC18031286/LOC18033371/LOC18033220",61
"GO:0000271","BP","GO:0000271","polysaccharide biosynthetic process","53/2492","78/5590",2.34437563416646e-05,0.0033055696441747,0.00303887488218268,"LOC18054789/LOC18054554/LOC18055214/LOC18055185/LOC18053866/LOC18053008/LOC18053001/LOC18052790/LOC18053215/LOC18050595/LOC18047949/LOC18046063/LOC18047773/LOC18050345/LOC18046510/LOC18047138/LOC18046804/LOC18046805/LOC18049183/LOC18048553/LOC18049131/LOC18050333/LOC18046960/LOC18048822/LOC18046728/LOC18044682/LOC18043891/LOC18045452/LOC18043261/LOC18043584/LOC18041528/LOC18042073/LOC18042773/LOC18040604/LOC18042441/LOC18041588/LOC18038018/LOC18039653/LOC18038088/LOC18038347/LOC18038846/LOC18038404/LOC18035694/LOC18037291/LOC18036190/LOC18036087/LOC18037183/LOC18033703/LOC18035119/LOC18031960/LOC18031827/LOC18032223/LOC18033371",53
"GO:0006811","BP","GO:0006811","ion transport","111/2492","188/5590",3.57773406160219e-05,0.0044140293985017,0.00405790363302775,"LOC18053876/LOC18053989/LOC18054197/LOC18054392/LOC18055473/LOC18055777/LOC18055611/LOC18055230/LOC18055318/LOC18055873/LOC18055524/LOC18055993/LOC18051816/LOC18052879/LOC18051582/LOC18051129/LOC18053579/LOC18052033/LOC18052546/LOC18053565/LOC18053567/LOC18053576/LOC18050870/LOC18052308/LOC18053225/LOC18050693/LOC18051154/LOC18051156/LOC18047346/LOC18049857/LOC18046386/LOC18046437/LOC18047777/LOC18048264/LOC18047579/LOC18046719/LOC18047919/LOC18050048/LOC18049353/LOC18046741/LOC18046233/LOC18048993/LOC18049307/LOC18043556/LOC18044751/LOC18044951/LOC18045721/LOC18045433/LOC18045581/LOC18044252/LOC18044883/LOC18045420/LOC18043527/LOC18043583/LOC18044564/LOC18043244/LOC18045074/LOC18044036/LOC18042592/LOC18040295/LOC18042328/LOC18041653/LOC18041920/LOC18041108/LOC18040867/LOC18040324/LOC18041578/LOC18042610/LOC18041378/LOC18042679/LOC18042427/LOC18039573/LOC18038851/LOC18038907/LOC18040037/LOC18038157/LOC18040080/LOC18038934/LOC18039280/LOC18039766/LOC18038820/LOC18039113/LOC18039010/LOC18038105/LOC18037631/LOC18037785/LOC18036923/LOC18037597/LOC18037630/LOC18037271/LOC18033732/LOC18034196/LOC18033648/LOC18034947/LOC18034693/LOC18035651/LOC18034303/LOC18033780/LOC18034171/LOC18034262/LOC18035186/LOC18032157/LOC18032707/LOC18032760/LOC18033108/LOC18031956/LOC18031402/LOC18031983/LOC18031509/LOC18032121/LOC18035533",111
"GO:0030001","BP","GO:0030001","metal ion transport","44/2492","63/5590",4.09281873887289e-05,0.00448845788363061,0.00412632719638413,"LOC18053989/LOC18055473/LOC18055777/LOC18055873/LOC18052879/LOC18051582/LOC18052033/LOC18052546/LOC18053565/LOC18053567/LOC18050870/LOC18051154/LOC18051156/LOC18047346/LOC18046386/LOC18046437/LOC18049353/LOC18048993/LOC18049307/LOC18044751/LOC18044252/LOC18045420/LOC18043527/LOC18042592/LOC18041653/LOC18041920/LOC18040867/LOC18042679/LOC18042427/LOC18039573/LOC18038851/LOC18040037/LOC18040080/LOC18038934/LOC18037271/LOC18033648/LOC18034303/LOC18034171/LOC18034262/LOC18035186/LOC18032157/LOC18031956/LOC18031509/LOC18032121",44
"GO:0055114","BP","GO:0055114","oxidation-reduction process","69/2492","109/5590",5.50834068288643e-05,0.00543673225400891,0.00499809438805064,"LOC18053944/LOC18054519/LOC18054593/LOC18054604/LOC18055214/LOC18051504/LOC18052969/LOC18053611/LOC18050389/LOC18051134/LOC18052589/LOC18052694/LOC18053354/LOC18050759/LOC18050999/LOC18047109/LOC18049898/LOC18047156/LOC18045776/LOC18048968/LOC18047619/LOC18048455/LOC18050024/LOC18048029/LOC18046858/LOC18046960/LOC18048244/LOC18044474/LOC18044303/LOC18044966/LOC18045656/LOC18045028/LOC18045098/LOC18044541/LOC18040745/LOC18040634/LOC18042081/LOC18042243/LOC18042819/LOC18042967/LOC18041192/LOC18042441/LOC18040657/LOC18041588/LOC18038390/LOC18038462/LOC18038088/LOC18038845/LOC18038401/LOC18037111/LOC18036530/LOC18037781/LOC18037020/LOC18036749/LOC18036751/LOC18036670/LOC18035427/LOC18034657/LOC18035166/LOC18035119/LOC18035077/LOC18034764/LOC18032845/LOC18031960/LOC18032961/LOC18033078/LOC18032972/LOC18046713/LOC18042718",69
