"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"cic00195","cic00195","Photosynthesis","36/1810","45/4414",9.19586416365402e-08,8.0977554025018e-06,5.77895122390851e-06,"18054197/18054593/18055495/18051312/18050406/18052634/18050848/18052292/18051897/18051680/18052598/18051773/18050746/18046168/18049269/18046547/18045866/18046879/18049304/18045518/18044399/18044560/18043967/18041845/18041631/18042569/18041192/18043060/18037401/18036420/18037749/18034566/18035077/18034913/18031419/18033147",36
"cic01200","cic01200","Carbon metabolism","133/1810","231/4414",1.37250091567827e-07,8.0977554025018e-06,5.77895122390851e-06,"18054901/18055054/18055481/18055658/18055958/18055432/18055984/18053903/18054604/18055121/18054367/18055508/18055630/18054254/18050485/18052496/18050513/18050546/18050981/18051504/18051556/18051549/18052969/18053611/18050457/18050404/18050389/18051640/18052589/18051277/18053354/18050642/18050645/18050464/18051169/18047109/18049898/18047153/18045776/18049721/18048968/18047619/18048455/18048760/18050199/18046009/18050024/18048029/18047993/18046858/18045998/18047218/18046577/18044197/18045352/18044474/18043642/18045673/18044642/18043596/18045615/18043410/18043257/18044491/18045656/18044409/18044762/18045691/18045003/18045173/18045098/18040745/18042252/18040221/18041861/18040965/18040627/18042459/18042236/18042243/18040806/18040411/18041600/18040240/18040275/18039479/18038390/18038922/18037981/18038331/18039123/18038086/18039816/18038643/18038615/18038845/18038394/18037111/18036869/18036470/18037781/18037191/18036914/18037469/18036672/18036649/18036724/18036688/18035854/18035909/18035874/18036670/18035427/18034004/18034657/18034756/18034154/18035302/18031272/18031784/18031995/18031369/18032294/18033338/18033078/18031487/18031386/18032073/18032013/18031724/18033481/18046713/18043574",133
"cic00071","cic00071","Fatty acid degradation","33/1810","45/4414",1.01748098264806e-05,0.000306140877487071,0.000218476986609863,"18054508/18051504/18052231/18051169/18045992/18046088/18047109/18047180/18046556/18050134/18045285/18043410/18043257/18043998/18042459/18041239/18042803/18042246/18040240/18037981/18038331/18037287/18036436/18036670/18035469/18031425/18032950/18032954/18032845/18033222/18032194/18032850/18032615",33
"cic00500","cic00500","Starch and sucrose metabolism","85/1810","145/4414",1.03776568639685e-05,0.000306140877487071,0.000218476986609863,"18054473/18054861/18055984/18056131/18054218/18054575/18055214/18055832/18055871/18054628/18051192/18050513/18051626/18052672/18052685/18050607/18050365/18051697/18052395/18052397/18053226/18053090/18047949/18048123/18047722/18048130/18049897/18047684/18049137/18048324/18050221/18049441/18048777/18046804/18046805/18047440/18048820/18048849/18047696/18046960/18048822/18047026/18044411/18045113/18044657/18043266/18044658/18044659/18043267/18040647/18041977/18042281/18042510/18043125/18042441/18041600/18042626/18041588/18039607/18038088/18040076/18039401/18039794/18037291/18037478/18037744/18037745/18036645/18035909/18036681/18033822/18035119/18035044/18035112/18034209/18033676/18032959/18031960/18032167/18032032/18031286/18032035/18033371/18035584/18033220",85
"cic00630","cic00630","Glyoxylate and dicarboxylate metabolism","42/1810","62/4414",1.68630528284957e-05,0.000397968046752498,0.000284009310795717,"18055481/18053903/18055630/18050546/18050981/18050457/18050404/18051640/18052589/18053354/18050645/18050464/18051169/18048405/18047153/18045776/18048760/18046009/18044642/18044424/18045691/18045098/18039479/18039975/18038615/18036869/18036470/18037781/18036914/18036672/18036649/18036724/18034004/18034657/18031272/18031784/18031995/18031369/18032221/18032011/18033119/18046713",42
"cic00592","cic00592","alpha-Linolenic acid metabolism","31/1810","43/4414",3.33882743575744e-05,0.000647706494506819,0.000462234786445544,"18056133/18053046/18053048/18053049/18053050/18052053/18052054/18050569/18050570/18051504/18051020/18051664/18047109/18046741/18046424/18046425/18046556/18044018/18043839/18042246/18040363/18043081/18037981/18038331/18038849/18036426/18036670/18032845/18032615/18031375/18034674",31
"cic00020","cic00020","Citrate cycle (TCA cycle)","32/1810","45/4414",3.90118195381847e-05,0.000647706494506819,0.000462234786445544,"18053903/18054604/18053611/18050404/18050389/18052589/18053354/18050642/18045776/18047619/18048455/18048029/18046858/18044474/18045673/18045656/18044409/18045003/18045173/18045098/18040745/18040627/18040411/18038390/18037111/18036869/18037781/18037191/18037469/18035427/18034657/18031369",32
"cic00710","cic00710","Carbon fixation in photosynthetic organisms","39/1810","58/4414",4.39123047123267e-05,0.000647706494506819,0.000462234786445544,"18054901/18055054/18055958/18055432/18053903/18054367/18055630/18051556/18051549/18052969/18051277/18053354/18045776/18050024/18047218/18044197/18045352/18043642/18044762/18045691/18042252/18040221/18040627/18040806/18040275/18038922/18039123/18038615/18037781/18037191/18036688/18034657/18034756/18034154/18035302/18032294/18031724/18033481/18043574",39
"cic00620","cic00620","Pyruvate metabolism","55/1810","90/4414",8.08895779620606e-05,0.00106055224439146,0.000756861548183023,"18055338/18055054/18055942/18055432/18053903/18055508/18050485/18053354/18050642/18050757/18050758/18051169/18046088/18047424/18045776/18047180/18050024/18046556/18047993/18046858/18043642/18045673/18043410/18043257/18044409/18043998/18045003/18045173/18040627/18042459/18042511/18042803/18042246/18040411/18040240/18039112/18039816/18039896/18038394/18037287/18037781/18037191/18037469/18036436/18034657/18031272/18031784/18031995/18031369/18032294/18033338/18032680/18032073/18032013/18046713",55
"cic00520","cic00520","Amino sugar and nucleotide sugar metabolism","68/1810","117/4414",0.000115286321108559,0.001360378589081,0.000970832177756287,"18053967/18053788/18054856/18055984/18055520/18053723/18054071/18051810/18050513/18051200/18052790/18051626/18050608/18050595/18049584/18048583/18046474/18049562/18050339/18050345/18050221/18048777/18046134/18046136/18048720/18047842/18047847/18046804/18046805/18048344/18049183/18050333/18046960/18046728/18044636/18044485/18045053/18045451/18045292/18045274/18042394/18041989/18040339/18040776/18041433/18042441/18041600/18039507/18039653/18039401/18038846/18038017/18037118/18037784/18035909/18035119/18035312/18032780/18031960/18032412/18032114/18031437/18033236/18033371/18032558/18047845/18047848/18041988",68
