"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","BP","GO:0015979","photosynthesis","71/1747","90/5590",8.35151299471446e-21,7.95899188396288e-18,7.51636169524302e-18,"LOC18055397/LOC18054519/LOC18053775/LOC18054210/LOC18054549/LOC18054593/LOC18055495/LOC18055368/LOC18055316/LOC18055991/LOC18053144/LOC18052634/LOC18052032/LOC18052292/LOC18051323/LOC18051897/LOC18052598/LOC18051870/LOC18051773/LOC18053347/LOC18053261/LOC18053263/LOC18049589/LOC18046386/LOC18048643/LOC18047156/LOC18045777/LOC18045785/LOC18046168/LOC18048155/LOC18049269/LOC18046547/LOC18045866/LOC18046879/LOC18044075/LOC18045518/LOC18045520/LOC18044863/LOC18044399/LOC18044589/LOC18043590/LOC18044560/LOC18045619/LOC18041475/LOC18042579/LOC18041631/LOC18040566/LOC18042252/LOC18042081/LOC18040285/LOC18041099/LOC18040979/LOC18042569/LOC18041192/LOC18041202/LOC18042622/LOC18038877/LOC18039962/LOC18039516/LOC18038615/LOC18036420/LOC18037749/LOC18036749/LOC18034139/LOC18035158/LOC18034566/LOC18035077/LOC18031419/LOC18032340/LOC18032961/LOC18031746",71
"GO:0019684","BP","GO:0019684","photosynthesis, light reaction","32/1747","43/5590",6.52484267303946e-09,3.1090875337033e-06,2.93617920286776e-06,"LOC18055397/LOC18054549/LOC18054593/LOC18055368/LOC18055991/LOC18052634/LOC18052032/LOC18051323/LOC18051870/LOC18053261/LOC18053263/LOC18049589/LOC18046386/LOC18047156/LOC18045785/LOC18046168/LOC18048155/LOC18044075/LOC18044863/LOC18043590/LOC18041475/LOC18040566/LOC18042081/LOC18041192/LOC18041202/LOC18038877/LOC18036420/LOC18036749/LOC18035158/LOC18035077/LOC18032340/LOC18032961",32
"GO:0009765","BP","GO:0009765","photosynthesis, light harvesting","16/1747","17/5590",9.50208098628132e-08,3.0184943933087e-05,2.8506242958844e-05,"LOC18055397/LOC18054549/LOC18055368/LOC18052032/LOC18051870/LOC18053261/LOC18053263/LOC18045785/LOC18048155/LOC18044075/LOC18044863/LOC18043590/LOC18041475/LOC18041202/LOC18038877/LOC18035158",16
"GO:0006091","BP","GO:0006091","generation of precursor metabolites and energy","66/1747","130/5590",2.1829389760134e-06,0.000520085211035193,0.000491161269603015,"LOC18055397/LOC18055984/LOC18054549/LOC18054593/LOC18054604/LOC18054367/LOC18055368/LOC18055991/LOC18053611/LOC18052634/LOC18050389/LOC18052032/LOC18052589/LOC18051323/LOC18051870/LOC18053354/LOC18053261/LOC18053263/LOC18049589/LOC18046386/LOC18047156/LOC18045785/LOC18046168/LOC18047619/LOC18048455/LOC18048155/LOC18050024/LOC18048029/LOC18046858/LOC18044075/LOC18044863/LOC18045656/LOC18043590/LOC18045098/LOC18041475/LOC18040566/LOC18042081/LOC18042236/LOC18042243/LOC18041192/LOC18041202/LOC18041337/LOC18041600/LOC18038877/LOC18038086/LOC18038462/LOC18038088/LOC18038981/LOC18038845/LOC18038401/LOC18037111/LOC18036420/LOC18036749/LOC18037599/LOC18035427/LOC18034657/LOC18034756/LOC18035158/LOC18035077/LOC18031960/LOC18032340/LOC18032961/LOC18033078/LOC18032972/LOC18031724/LOC18042718",66
"GO:0030243","BP","GO:0030243","cellulose metabolic process","28/1747","45/5590",1.69078622844846e-05,0.00318228885257395,0.00300530951449796,"LOC18054789/LOC18055189/LOC18055908/LOC18053866/LOC18050938/LOC18052685/LOC18050365/LOC18053215/LOC18046063/LOC18046064/LOC18048123/LOC18047773/LOC18049441/LOC18046308/LOC18049131/LOC18050333/LOC18044911/LOC18040647/LOC18041528/LOC18042773/LOC18041697/LOC18037478/LOC18036087/LOC18035044/LOC18031827/LOC18032223/LOC18054345/LOC18055183",28
"GO:0071554","BP","GO:0071554","cell wall organization or biogenesis","83/1747","181/5590",2.00353967633197e-05,0.00318228885257395,0.00300530951449796,"LOC18054789/LOC18055792/LOC18055990/LOC18054554/LOC18054695/LOC18054743/LOC18054745/LOC18055586/LOC18055590/LOC18054143/LOC18054151/LOC18054152/LOC18053866/LOC18051839/LOC18051563/LOC18051551/LOC18053095/LOC18052688/LOC18052472/LOC18052474/LOC18053215/LOC18050634/LOC18047309/LOC18048450/LOC18050337/LOC18047842/LOC18047847/LOC18046073/LOC18046237/LOC18049183/LOC18049131/LOC18050261/LOC18049952/LOC18049816/LOC18045871/LOC18049904/LOC18046728/LOC18044426/LOC18045452/LOC18043584/LOC18045701/LOC18045202/LOC18043846/LOC18044911/LOC18040603/LOC18040524/LOC18040339/LOC18041518/LOC18040742/LOC18040741/LOC18042773/LOC18040195/LOC18039093/LOC18038054/LOC18039260/LOC18038946/LOC18039355/LOC18039653/LOC18037938/LOC18039806/LOC18038017/LOC18037118/LOC18037743/LOC18037502/LOC18036946/LOC18037849/LOC18036087/LOC18035691/LOC18033963/LOC18033703/LOC18033611/LOC18034104/LOC18031830/LOC18031389/LOC18032742/LOC18031716/LOC18031983/LOC18031689/LOC18054640/LOC18047845/LOC18048043/LOC18038852/LOC18034935",83
"GO:0009611","BP","GO:0009611","response to wounding","15/1747","20/5590",7.09257406318697e-05,0.00821956474191529,0.00776244309309943,"LOC18054493/LOC18052168/LOC18049944/LOC18046254/LOC18044038/LOC18041571/LOC18039687/LOC18037266/LOC18036117/LOC18034434/LOC18032837/LOC18031486/LOC18031542/LOC18031626/LOC18032558",15
"GO:0030244","BP","GO:0030244","cellulose biosynthetic process","17/1747","24/5590",7.56081370902164e-05,0.00821956474191529,0.00776244309309943,"LOC18054789/LOC18055189/LOC18053866/LOC18053215/LOC18046063/LOC18046064/LOC18047773/LOC18046308/LOC18049131/LOC18050333/LOC18044911/LOC18041528/LOC18042773/LOC18036087/LOC18031827/LOC18032223/LOC18055183",17
"GO:0051273","BP","GO:0051273","beta-glucan metabolic process","29/1747","50/5590",7.76244309309943e-05,0.00821956474191529,0.00776244309309943,"LOC18054789/LOC18055189/LOC18055908/LOC18053866/LOC18050938/LOC18052685/LOC18050365/LOC18053215/LOC18046063/LOC18046064/LOC18048123/LOC18047773/LOC18049441/LOC18046308/LOC18049131/LOC18050333/LOC18043846/LOC18044911/LOC18040647/LOC18041528/LOC18042773/LOC18041697/LOC18037478/LOC18036087/LOC18035044/LOC18031827/LOC18032223/LOC18054345/LOC18055183",29
"GO:0007017","BP","GO:0007017","microtubule-based process","45/1747","89/5590",0.000101881751377685,0.00970933090629339,0.00916935762399166,"LOC18055683/LOC18053658/LOC18054591/LOC18055414/LOC18054356/LOC18055273/LOC18054646/LOC18050431/LOC18052839/LOC18052853/LOC18051759/LOC18051772/LOC18048276/LOC18046653/LOC18048307/LOC18048223/LOC18049263/LOC18046861/LOC18047083/LOC18045637/LOC18043770/LOC18040936/LOC18041025/LOC18041046/LOC18041058/LOC18039529/LOC18039339/LOC18038374/LOC18039615/LOC18038217/LOC18038180/LOC18039137/LOC18035954/LOC18037885/LOC18037153/LOC18036848/LOC18037824/LOC18035551/LOC18034863/LOC18034481/LOC18032852/LOC18032371/LOC18031417/LOC18033085/LOC18031569",45
"GO:0006928","BP","GO:0006928","movement of cell or subcellular component","20/1747","31/5590",0.0001348306716764,0.0107078025089674,0.01011230037573,"LOC18054591/LOC18055273/LOC18054646/LOC18050431/LOC18051772/LOC18046653/LOC18048307/LOC18048223/LOC18046861/LOC18045637/LOC18041025/LOC18041046/LOC18039529/LOC18039615/LOC18035954/LOC18037153/LOC18037824/LOC18034863/LOC18034481/LOC18032371",20
"GO:0007018","BP","GO:0007018","microtubule-based movement","20/1747","31/5590",0.0001348306716764,0.0107078025089674,0.01011230037573,"LOC18054591/LOC18055273/LOC18054646/LOC18050431/LOC18051772/LOC18046653/LOC18048307/LOC18048223/LOC18046861/LOC18045637/LOC18041025/LOC18041046/LOC18039529/LOC18039615/LOC18035954/LOC18037153/LOC18037824/LOC18034863/LOC18034481/LOC18032371",20
"GO:0006811","BP","GO:0006811","ion transport","82/1747","188/5590",0.000191777397641886,0.0134797109304118,0.0127300522952472,"LOC18053876/LOC18054197/LOC18055777/LOC18055611/LOC18054352/LOC18055230/LOC18055317/LOC18055318/LOC18055873/LOC18054614/LOC18051816/LOC18052879/LOC18051582/LOC18051129/LOC18053579/LOC18051024/LOC18053565/LOC18050870/LOC18052308/LOC18053225/LOC18051156/LOC18047346/LOC18049857/LOC18046386/LOC18047777/LOC18047579/LOC18049353/LOC18046233/LOC18046780/LOC18048993/LOC18043556/LOC18045480/LOC18045142/LOC18045485/LOC18045721/LOC18045433/LOC18044252/LOC18045420/LOC18043527/LOC18044564/LOC18043241/LOC18043244/LOC18045074/LOC18042012/LOC18040295/LOC18042328/LOC18041653/LOC18041920/LOC18041108/LOC18040867/LOC18041578/LOC18042610/LOC18042679/LOC18038157/LOC18038934/LOC18038108/LOC18039766/LOC18038820/LOC18039113/LOC18039010/LOC18037631/LOC18037785/LOC18037597/LOC18037630/LOC18033732/LOC18034188/LOC18034196/LOC18034947/LOC18035445/LOC18033706/LOC18035651/LOC18033780/LOC18034262/LOC18033254/LOC18032157/LOC18032707/LOC18032760/LOC18031983/LOC18031509/LOC18032121/LOC18042449/LOC18035533",82
"GO:0006865","BP","GO:0006865","amino acid transport","26/1747","45/5590",0.000198023035703846,0.0134797109304118,0.0127300522952472,"LOC18055230/LOC18054614/LOC18051129/LOC18053579/LOC18049857/LOC18047579/LOC18046233/LOC18043556/LOC18045480/LOC18045142/LOC18045433/LOC18044564/LOC18041108/LOC18041578/LOC18042610/LOC18038157/LOC18038108/LOC18038820/LOC18039113/LOC18037631/LOC18034188/LOC18034196/LOC18034947/LOC18035651/LOC18042449/LOC18035533",26
