"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"cic00195","cic00195","Photosynthesis","34/1322","45/4414",2.93569766387709e-10,3.46412324337497e-08,2.53397061513602e-08,"18054197/18054593/18055495/18052634/18050848/18052292/18051897/18052598/18051773/18050746/18048643/18046168/18049269/18046547/18045866/18046879/18049304/18045518/18044399/18044560/18043967/18041845/18041631/18042569/18041192/18043060/18037401/18036420/18037749/18034566/18035077/18034913/18031419/18033147",34
"cic01200","cic01200","Carbon metabolism","101/1322","231/4414",3.67700071687184e-06,0.000216943042295439,0.000158691609886048,"18054901/18055054/18055481/18055658/18055958/18055984/18053903/18054604/18055121/18054367/18054254/18050485/18052496/18050546/18050981/18050880/18051556/18051549/18053588/18053611/18050457/18050389/18052589/18051277/18053354/18050645/18050464/18047109/18050053/18047619/18048455/18050199/18046009/18050024/18046239/18049660/18048029/18046858/18045998/18045352/18043642/18045673/18044642/18043314/18043596/18045615/18044491/18045656/18045691/18045098/18042252/18041861/18042247/18042459/18042236/18042243/18040806/18040411/18040692/18041337/18041600/18040275/18039479/18038922/18037981/18038331/18038086/18038981/18039816/18038643/18038615/18038845/18038394/18037111/18036869/18036470/18037191/18036914/18037469/18036649/18036688/18035854/18035991/18036951/18035874/18037599/18036670/18035427/18034004/18034657/18033815/18034756/18031585/18031272/18031755/18032294/18031732/18033078/18031724/18033481/18038330",101
"cic00196","cic00196","Photosynthesis - antenna proteins","14/1322","17/4414",1.14399326099005e-05,0.000449970682656087,0.000329148938249769,"18054549/18055368/18052032/18053261/18053263/18045785/18048155/18044075/18044863/18043590/18041475/18041202/18038877/18035158",14
"cic00260","cic00260","Glycine, serine and threonine metabolism","32/1322","58/4414",4.92557938793517e-05,0.00145304591944087,0.00106288818371233,"18054115/18055481/18054542/18050546/18051971/18052469/18050464/18048463/18045947/18048424/18044642/18045691/18042075/18042236/18040692/18038578/18038086/18038643/18039702/18036914/18037066/18036436/18036951/18035874/18037599/18034004/18031585/18031368/18032887/18031365/18031198/18033237",32
"cic00960","cic00960","Tropane, piperidine and pyridine alkaloid biosynthesis","23/1322","39/4414",0.000148051549542483,0.00349401656920259,0.00255583727631233,"18054901/18055958/18054023/18051556/18053426/18053428/18052825/18052826/18045355/18039168/18039970/18039663/18039754/18039130/18038881/18033937/18035377/18034137/18035346/18031368/18032887/18031365/18031198",23
"cic00904","cic00904","Diterpenoid biosynthesis","16/1322","24/4414",0.000212920535534497,0.003681261069546,0.00269280470742883,"18055294/18054683/18053323/18050721/18050091/18049178/18049179/18046882/18046916/18044644/18044645/18043163/18043147/18035897/18032971/18046174",16
"cic00940","cic00940","Phenylpropanoid biosynthesis","79/1322","188/4414",0.000218379893956119,0.003681261069546,0.00269280470742883,"18054232/18054518/18055849/18056131/18054575/18055509/18054131/18051456/18051192/18052498/18052500/18052501/18052503/18050450/18050365/18052395/18052397/18050743/18048117/18046716/18046501/18048366/18048368/18049500/18048076/18050151/18046298/18046299/18047440/18045884/18043961/18045154/18045038/18043571/18043565/18044238/18044719/18044657/18043266/18044659/18043267/18041383/18040739/18042352/18042520/18040966/18041836/18038827/18038722/18038426/18039411/18038860/18036684/18036838/18037787/18037076/18037215/18037541/18036678/18036045/18035701/18037507/18037805/18035881/18037660/18037667/18037750/18035687/18035333/18035677/18034351/18035112/18034975/18033676/18052997/18050006/18048798/18042182/18032359",79
"cic00860","cic00860","Porphyrin and chlorophyll metabolism","24/1322","44/4414",0.000541361646432241,0.00798508428487555,0.00584100723782155,"18054391/18054519/18055723/18054210/18055226/18051813/18053144/18050543/18052980/18053347/18047161/18045777/18049577/18048266/18044345/18044541/18042726/18042295/18039962/18036720/18036249/18032428/18033428/18031746",24
"cic00130","cic00130","Ubiquinone and other terpenoid-quinone biosynthesis","31/1322","62/4414",0.000673427755942396,0.00882938613346696,0.00645860537862882,"18053797/18054023/18054769/18054598/18055509/18055996/18054131/18053426/18053428/18052825/18052826/18051675/18051788/18045928/18046716/18050151/18048001/18045260/18044823/18044044/18044719/18044857/18044064/18043540/18040531/18042889/18039406/18037752/18034853/18034975/18032481",31
"cic00071","cic00071","Fatty acid degradation","24/1322","45/4414",0.000835026824919388,0.00985331653404878,0.00720759996246208,"18054508/18055962/18046088/18047109/18047180/18047636/18046556/18050134/18043998/18042459/18041239/18042803/18037981/18038331/18036436/18036670/18035469/18031425/18032845/18033222/18032194/18032615/18042021/18038330",24
