"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","BP","GO:0015979","photosynthesis","47/1598","90/5590",1.70229961937139e-06,0.00079598768252527,0.000764534757133058,"LOC18053944/LOC18054519/LOC18053775/LOC18054210/LOC18054549/LOC18054593/LOC18055495/LOC18055368/LOC18053144/LOC18052032/LOC18052694/LOC18051773/LOC18053347/LOC18053261/LOC18053263/LOC18050593/LOC18048643/LOC18045777/LOC18045785/LOC18046168/LOC18048155/LOC18044075/LOC18045520/LOC18044863/LOC18043836/LOC18043590/LOC18044560/LOC18045619/LOC18041475/LOC18042579/LOC18041631/LOC18040566/LOC18040285/LOC18040979/LOC18042569/LOC18041202/LOC18038877/LOC18039962/LOC18036420/LOC18037749/LOC18034139/LOC18035158/LOC18034566/LOC18035077/LOC18032543/LOC18032961/LOC18031746",47
"GO:1901136","BP","GO:1901136","carbohydrate derivative catabolic process","17/1598","22/5590",2.97286463611371e-06,0.00079598768252527,0.000764534757133058,"LOC18051803/LOC18047667/LOC18046848/LOC18047842/LOC18047847/LOC18046073/LOC18049816/LOC18043881/LOC18040339/LOC18040513/LOC18037118/LOC18034655/LOC18034517/LOC18033974/LOC18031389/LOC18031349/LOC18047848",17
"GO:0009765","BP","GO:0009765","photosynthesis, light harvesting","14/1598","17/5590",6.31542909206669e-06,0.00079598768252527,0.000764534757133058,"LOC18054549/LOC18055368/LOC18052032/LOC18053261/LOC18053263/LOC18045785/LOC18048155/LOC18044075/LOC18044863/LOC18043590/LOC18041475/LOC18041202/LOC18038877/LOC18035158",14
"GO:0006022","BP","GO:0006022","aminoglycan metabolic process","11/1598","12/5590",9.01736818514724e-06,0.00079598768252527,0.000764534757133058,"LOC18047842/LOC18047847/LOC18046073/LOC18049816/LOC18040339/LOC18037118/LOC18034655/LOC18034517/LOC18033974/LOC18031389/LOC18047848",11
"GO:0006026","BP","GO:0006026","aminoglycan catabolic process","11/1598","12/5590",9.01736818514724e-06,0.00079598768252527,0.000764534757133058,"LOC18047842/LOC18047847/LOC18046073/LOC18049816/LOC18040339/LOC18037118/LOC18034655/LOC18034517/LOC18033974/LOC18031389/LOC18047848",11
"GO:0006030","BP","GO:0006030","chitin metabolic process","11/1598","12/5590",9.01736818514724e-06,0.00079598768252527,0.000764534757133058,"LOC18047842/LOC18047847/LOC18046073/LOC18049816/LOC18040339/LOC18037118/LOC18034655/LOC18034517/LOC18033974/LOC18031389/LOC18047848",11
"GO:0006032","BP","GO:0006032","chitin catabolic process","11/1598","12/5590",9.01736818514724e-06,0.00079598768252527,0.000764534757133058,"LOC18047842/LOC18047847/LOC18046073/LOC18049816/LOC18040339/LOC18037118/LOC18034655/LOC18034517/LOC18033974/LOC18031389/LOC18047848",11
"GO:0016998","BP","GO:0016998","cell wall macromolecule catabolic process","11/1598","12/5590",9.01736818514724e-06,0.00079598768252527,0.000764534757133058,"LOC18047842/LOC18047847/LOC18046073/LOC18049816/LOC18040339/LOC18037118/LOC18034655/LOC18034517/LOC18033974/LOC18031389/LOC18047848",11
"GO:0046348","BP","GO:0046348","amino sugar catabolic process","11/1598","12/5590",9.01736818514724e-06,0.00079598768252527,0.000764534757133058,"LOC18047842/LOC18047847/LOC18046073/LOC18049816/LOC18040339/LOC18037118/LOC18034655/LOC18034517/LOC18033974/LOC18031389/LOC18047848",11
"GO:1901071","BP","GO:1901071","glucosamine-containing compound metabolic process","11/1598","12/5590",9.01736818514724e-06,0.00079598768252527,0.000764534757133058,"LOC18047842/LOC18047847/LOC18046073/LOC18049816/LOC18040339/LOC18037118/LOC18034655/LOC18034517/LOC18033974/LOC18031389/LOC18047848",11
"GO:1901072","BP","GO:1901072","glucosamine-containing compound catabolic process","11/1598","12/5590",9.01736818514724e-06,0.00079598768252527,0.000764534757133058,"LOC18047842/LOC18047847/LOC18046073/LOC18049816/LOC18040339/LOC18037118/LOC18034655/LOC18034517/LOC18033974/LOC18031389/LOC18047848",11
"GO:0044262","BP","GO:0044262","cellular carbohydrate metabolic process","75/1598","178/5590",5.85518916526712e-05,0.00473782389956198,0.00455061193019883,"LOC18054473/LOC18054789/LOC18056154/LOC18054179/LOC18055185/LOC18055189/LOC18054645/LOC18055908/LOC18055832/LOC18054156/LOC18054144/LOC18054151/LOC18054158/LOC18054628/LOC18053866/LOC18053008/LOC18052941/LOC18053001/LOC18050938/LOC18050607/LOC18053226/LOC18053090/LOC18047949/LOC18049207/LOC18046064/LOC18048123/LOC18047773/LOC18047722/LOC18049897/LOC18046510/LOC18049441/LOC18047138/LOC18046804/LOC18046805/LOC18048553/LOC18049131/LOC18048822/LOC18044259/LOC18044682/LOC18043891/LOC18043261/LOC18044491/LOC18043997/LOC18045701/LOC18043846/LOC18041518/LOC18041977/LOC18042510/LOC18042773/LOC18042730/LOC18042441/LOC18041697/LOC18038018/LOC18038845/LOC18037502/LOC18035822/LOC18036541/LOC18037183/LOC18036681/LOC18035119/LOC18034922/LOC18035044/LOC18035546/LOC18031298/LOC18031755/LOC18032959/LOC18031960/LOC18032986/LOC18032032/LOC18031716/LOC18031286/LOC18046713/LOC18049538/LOC18047051/LOC18033220",75
"GO:0018298","BP","GO:0018298","protein-chromophore linkage","17/1598","26/5590",0.000102363792395555,0.0076457878781603,0.00734366964068516,"LOC18054549/LOC18055368/LOC18052032/LOC18053261/LOC18053263/LOC18045785/LOC18048155/LOC18044075/LOC18044863/LOC18043590/LOC18041475/LOC18041202/LOC18038877/LOC18033732/LOC18035158/LOC18035337/LOC18033780",17
